BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1001919,,,,426.0,19838.0,216.0,newly_flagged
1001923,18317.0,18286.0,759.0,,,,no_longer_flagged
1001928,446.0,438.0,491.0,446.0,438.0,528.0,unchanged
1001938,157.0,205.0,399.0,157.0,205.0,424.0,unchanged
1001945,294.0,280.0,716.0,294.0,280.0,776.0,unchanged
1001956,15663.0,15683.0,754.0,,,,no_longer_flagged
1001958,57893.0,57889.0,781.0,,,,no_longer_flagged
1001971,19709.0,19693.0,221.0,,,,no_longer_flagged
1001986,,383756.0,794.0,,,,no_longer_flagged
1001987,449260.0,85736.0,205.0,449260.0,85736.0,219.0,unchanged
1001991,19820.0,367.0,143.0,19820.0,356.0,520.0,recommendation_changed
1001994,327.0,342.0,580.0,327.0,342.0,624.0,unchanged
1001998,320.0,323.0,420.0,320.0,323.0,460.0,unchanged
1002022,24671.0,11740.0,812.0,,,,no_longer_flagged
1002068,402.0,399.0,117.0,402.0,399.0,126.0,unchanged
1002070,402.0,399.0,587.0,402.0,399.0,633.0,unchanged
1002079,489.0,264637.0,837.0,,,,no_longer_flagged
1002092,9403.0,454.0,844.0,9403.0,454.0,923.0,unchanged
1002113,,,,30686.0,30685.0,565.0,newly_flagged
1002115,,,,30687.0,30685.0,565.0,newly_flagged
1002121,,,,30688.0,30685.0,565.0,newly_flagged
1002122,,,,30688.0,30685.0,565.0,newly_flagged
1002164,432.0,427.0,896.0,432.0,427.0,974.0,unchanged
1002168,,,,30695.0,30685.0,565.0,newly_flagged
1002170,,,,30693.0,30685.0,565.0,newly_flagged
1002171,,,,30695.0,30685.0,565.0,newly_flagged
1002184,377565.0,377567.0,229.0,,,,no_longer_flagged
1002185,377565.0,377567.0,229.0,,,,no_longer_flagged
1002186,377565.0,377567.0,229.0,,,,no_longer_flagged
1002198,255.0,232.0,486.0,255.0,232.0,523.0,unchanged
1002222,66531.0,66529.0,921.0,,,,no_longer_flagged
1002233,377668.0,377567.0,229.0,,,,no_longer_flagged
1002234,377668.0,377567.0,229.0,,,,no_longer_flagged
1002235,377668.0,377567.0,229.0,,,,no_longer_flagged
1002248,25151.0,25185.0,737.0,,,,no_longer_flagged
1002263,,5556.0,948.0,,,,no_longer_flagged
1002264,10063.0,23989.0,949.0,,,,no_longer_flagged
1002282,53724.0,10912.0,961.0,53724.0,10912.0,1046.0,unchanged
1002297,359724.0,375325.0,973.0,359724.0,375325.0,1058.0,unchanged
1002340,359732.0,359728.0,258.0,,,,no_longer_flagged
1002341,359724.0,375325.0,973.0,359724.0,375325.0,1058.0,unchanged
1002342,359723.0,359728.0,258.0,,,,no_longer_flagged
1002343,359732.0,359728.0,258.0,,,,no_longer_flagged
1002360,377668.0,377567.0,229.0,,,,no_longer_flagged
1002361,377659.0,377568.0,228.0,,,,no_longer_flagged
1002362,377659.0,377568.0,228.0,,,,no_longer_flagged
1002364,359725.0,375325.0,973.0,359725.0,375325.0,1058.0,unchanged
1002376,350233.0,350224.0,266.0,,,,no_longer_flagged
1002377,350231.0,350230.0,1023.0,,,,no_longer_flagged
1002380,350233.0,350224.0,266.0,,,,no_longer_flagged
1002381,377668.0,377567.0,229.0,,,,no_longer_flagged
1002382,377668.0,377567.0,229.0,,,,no_longer_flagged
1002383,377668.0,377567.0,229.0,,,,no_longer_flagged
1002388,375330.0,375327.0,312.0,,,,no_longer_flagged
1002389,375329.0,375327.0,312.0,375329.0,375330.0,813.0,recommendation_changed
1002398,375330.0,375327.0,312.0,,,,no_longer_flagged
1002399,375330.0,375327.0,312.0,,,,no_longer_flagged
1002451,343741.0,343740.0,1061.0,343741.0,343740.0,1151.0,unchanged
1002455,30697.0,30696.0,1064.0,30697.0,30685.0,565.0,recommendation_changed
1002493,11442.0,11540.0,612.0,,,,no_longer_flagged
1002494,24671.0,11740.0,812.0,,,,no_longer_flagged
1002507,24383.0,24375.0,1089.0,24383.0,10783.0,1176.0,recommendation_changed
1002509,10783.0,24375.0,1089.0,,,,no_longer_flagged
1002522,56923.0,24178.0,1095.0,56923.0,24178.0,1182.0,unchanged
1002532,24729.0,24709.0,609.0,,,,no_longer_flagged
1002533,,,,11542.0,11499.0,1186.0,newly_flagged
1002534,11542.0,11540.0,612.0,11542.0,11499.0,1186.0,recommendation_changed
1002536,111980.0,111985.0,1100.0,111980.0,111985.0,1187.0,unchanged
1002538,111980.0,111985.0,1100.0,111980.0,111985.0,1187.0,unchanged
1002539,111980.0,111985.0,1100.0,111980.0,111985.0,1187.0,unchanged
