BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1179080,25468,13592,18914,9,9,1,8,0.8889,0.7778
1072902,235849,235843,19026,9,9,1,8,0.8889,0.7778
1267665,10188,10180,19625,9,9,1,8,0.8889,0.7778
1076760,145602,130227,20252,9,9,1,8,0.8889,0.7778
1077597,19304,19305,20321,9,9,1,8,0.8889,0.7778
1092716,27028,18074,22010,9,9,1,8,0.8889,0.7778
1089109,14423,14385,22949,9,9,1,8,0.8889,0.7778
1116653,13710,13656,23783,9,9,1,8,0.8889,0.7778
1121063,13060,13138,24719,9,9,1,8,0.8889,0.7778
1132492,391359,391357,25465,9,9,1,8,0.8889,0.7778
1119059,10750,429852,25689,9,9,1,8,0.8889,0.7778
1118612,396082,396084,25714,9,9,1,8,0.8889,0.7778
1190758,2977,15032,25733,9,9,1,8,0.8889,0.7778
1147446,2833,20942,30185,9,9,1,8,0.8889,0.7778
1119310,425117,425116,31238,9,9,1,8,0.8889,0.7778
1118947,449231,449230,31249,9,9,1,8,0.8889,0.7778
1123978,12282,12286,31637,9,9,1,8,0.8889,0.7778
1227480,23228,23262,35277,9,9,1,8,0.8889,0.7778
1189766,4538,4532,36757,9,9,1,8,0.8889,0.7778
1153112,12154,12163,40225,9,9,1,8,0.8889,0.7778
1157830,17404,17344,40797,9,9,1,8,0.8889,0.7778
1189994,21233,21254,48516,9,9,1,8,0.8889,0.7778
1205875,10725,10709,49124,9,9,1,8,0.8889,0.7778
1202317,18240,18236,51067,9,9,1,8,0.8889,0.7778
1287212,4636,4618,53164,9,9,1,8,0.8889,0.7778
1225777,91487,91488,55351,9,9,1,8,0.8889,0.7778
1225775,91488,91487,55401,9,9,1,8,0.8889,0.7778
1287609,9870,9857,55553,9,9,1,8,0.8889,0.7778
1227769,8131,8198,55843,9,9,1,8,0.8889,0.7778
1265982,55978,23153,55883,9,9,1,8,0.8889,0.7778
1269434,8103,8015,57554,9,9,1,8,0.8889,0.7778
1286318,9891,9815,59151,9,9,1,8,0.8889,0.7778
1299413,4597,4572,59832,9,9,1,8,0.8889,0.7778
1298276,50216,50210,60305,9,9,1,8,0.8889,0.7778
1282517,19321,19334,61541,9,9,1,8,0.8889,0.7778
1304407,37117,37118,64439,9,9,1,8,0.8889,0.7778
1309915,6081,6067,65877,9,9,1,8,0.8889,0.7778
1007399,24891,24882,2690,16,16,1,13,0.8125,0.75
1156332,283543,287362,4394,16,16,2,14,0.875,0.75
1181363,283543,287362,4394,16,16,2,14,0.875,0.75
1062759,5669,5665,16670,16,16,2,14,0.875,0.75
1062824,5669,5665,16670,16,16,2,14,0.875,0.75
1012979,13395,13414,52,8,8,1,7,0.875,0.75
1005526,351,347,519,8,8,1,7,0.875,0.75
1008891,11667,24729,660,8,8,1,7,0.875,0.75
1027818,8288,8252,1036,8,8,1,7,0.875,0.75
1002522,56923,24178,1182,8,8,1,7,0.875,0.75
1073407,69412,139847,1210,8,8,1,7,0.875,0.75
1002678,17682,17646,1273,8,8,1,7,0.875,0.75
1005076,11956,24827,1341,8,8,1,7,0.875,0.75
1003542,11956,11954,1355,8,8,1,7,0.875,0.75
1025329,25283,12911,1475,8,8,1,7,0.875,0.75
1004359,13274,13311,1525,8,8,1,7,0.875,0.75
1004226,12680,12713,1570,8,8,1,7,0.875,0.75
1004143,13223,13202,1590,8,8,1,7,0.875,0.75
1072451,132141,132140,1829,8,8,1,7,0.875,0.75
1004836,9983,23915,1878,8,8,1,7,0.875,0.75
1119481,396227,430002,1917,8,8,1,7,0.875,0.75
1025480,33260,33259,1946,8,8,1,7,0.875,0.75
1005401,148183,143045,2057,8,8,1,7,0.875,0.75
1005593,1019,345275,2145,8,8,1,7,0.875,0.75
1006685,23950,23909,2358,8,8,1,7,0.875,0.75
1012954,10245,24288,2580,8,8,1,7,0.875,0.75
1025254,12705,25132,2738,8,8,1,7,0.875,0.75
1025106,10616,10636,2742,8,8,1,7,0.875,0.75
1025644,12688,25174,2791,8,8,1,7,0.875,0.75
1010066,35170,24581,3097,8,8,1,7,0.875,0.75
1023258,145275,235200,3698,8,8,1,7,0.875,0.75
1054402,364609,364608,3994,8,8,1,7,0.875,0.75
1132993,278401,168318,4501,8,8,1,7,0.875,0.75
1013177,38079,68771,4532,8,8,1,7,0.875,0.75
1013186,375723,23402,4539,8,8,1,7,0.875,0.75
1270148,1870,378268,4592,8,8,1,7,0.875,0.75
1015390,350091,350092,4593,8,8,1,7,0.875,0.75
1014181,390373,390374,4630,8,8,1,7,0.875,0.75
1134141,384796,384797,4755,8,8,1,7,0.875,0.75
1095103,390688,390689,5000,8,8,1,7,0.875,0.75
1023514,7558,7575,5170,8,8,1,7,0.875,0.75
1121804,24987,12390,5225,8,8,1,7,0.875,0.75
1125432,1342,1326,5356,8,8,1,7,0.875,0.75
1131849,345084,20786,5388,8,8,1,7,0.875,0.75
1135976,195839,263050,5397,8,8,1,7,0.875,0.75
1132984,8836,8852,6015,8,8,1,7,0.875,0.75
1190372,16795,16797,6086,8,8,1,7,0.875,0.75
1020879,23690,23710,6094,8,8,1,7,0.875,0.75
1020669,9073,9027,6168,8,8,1,7,0.875,0.75
1020695,9114,9073,6179,8,8,1,7,0.875,0.75
1027124,9809,9808,6189,8,8,1,7,0.875,0.75
1022122,24016,23968,6593,8,8,1,7,0.875,0.75
1022466,10893,24439,6733,8,8,1,7,0.875,0.75
1022790,449229,449228,6846,8,8,1,7,0.875,0.75
1024392,10994,11012,6877,8,8,1,7,0.875,0.75
1024899,20857,20823,7431,8,8,1,7,0.875,0.75
1040672,22392,22423,8209,8,8,1,7,0.875,0.75
1046418,7109,7110,8231,8,8,1,7,0.875,0.75
1037296,22551,6894,8234,8,8,1,7,0.875,0.75
1030156,6227,6181,8296,8,8,1,7,0.875,0.75
1035593,376893,376892,8326,8,8,1,7,0.875,0.75
1036722,158075,159044,8539,8,8,1,7,0.875,0.75
1035835,336319,336316,8932,8,8,1,7,0.875,0.75
1034849,7483,7514,9134,8,8,1,7,0.875,0.75
1041457,6408,6372,9458,8,8,1,7,0.875,0.75
1032790,370316,370315,9752,8,8,1,7,0.875,0.75
1033564,350075,349900,9950,8,8,1,7,0.875,0.75
1034905,22377,22393,10309,8,8,1,7,0.875,0.75
1035435,344337,343441,10445,8,8,1,7,0.875,0.75
1036052,77723,77724,10629,8,8,1,7,0.875,0.75
1038244,375004,375005,10868,8,8,1,7,0.875,0.75
1037142,23585,9300,10904,8,8,1,7,0.875,0.75
1041470,6510,6475,11105,8,8,1,7,0.875,0.75
1038770,9650,9678,11296,8,8,1,7,0.875,0.75
1039608,375060,375061,11532,8,8,1,7,0.875,0.75
1054945,146880,146882,12032,8,8,1,7,0.875,0.75
1042059,375410,375406,12120,8,8,1,7,0.875,0.75
1056716,343316,343315,12628,8,8,1,7,0.875,0.75
1056174,265930,266235,12782,8,8,1,7,0.875,0.75
1045669,375671,375669,12920,8,8,1,7,0.875,0.75
1056506,375989,375990,13074,8,8,1,7,0.875,0.75
1060281,192316,323837,13441,8,8,1,7,0.875,0.75
1057413,14138,20530,14750,8,8,1,7,0.875,0.75
1059836,22069,22066,15042,8,8,1,7,0.875,0.75
1061976,21998,21995,15237,8,8,1,7,0.875,0.75
1060037,26242,26240,15544,8,8,1,7,0.875,0.75
1088120,16033,16015,15626,8,8,1,7,0.875,0.75
1155450,18933,18959,15648,8,8,1,7,0.875,0.75
1059849,94047,3371,15695,8,8,1,7,0.875,0.75
1083674,26240,26239,15748,8,8,1,7,0.875,0.75
1082115,26192,26198,15800,8,8,1,7,0.875,0.75
1063164,343680,375307,16022,8,8,1,7,0.875,0.75
1061408,20666,181759,16235,8,8,1,7,0.875,0.75
1067699,273281,263037,17236,8,8,1,7,0.875,0.75
1068313,384031,383573,17753,8,8,1,7,0.875,0.75
1074807,264003,264004,18208,8,8,1,7,0.875,0.75
1070714,18749,18790,18396,8,8,1,7,0.875,0.75
1072904,235844,235841,18892,8,8,1,7,0.875,0.75
1079891,26311,26310,19237,8,8,1,7,0.875,0.75
1075194,35494,35492,19877,8,8,1,7,0.875,0.75
1084357,19314,19324,20421,8,8,1,7,0.875,0.75
1078092,27043,27054,20561,8,8,1,7,0.875,0.75
1093244,18022,26992,21047,8,8,1,7,0.875,0.75
1089627,14360,14339,22578,8,8,1,7,0.875,0.75
1088661,14558,14744,22972,8,8,1,7,0.875,0.75
1088826,349712,349996,23013,8,8,1,7,0.875,0.75
1099208,17555,26755,24873,8,8,1,7,0.875,0.75
1094294,16860,16909,25111,8,8,1,7,0.875,0.75
1096000,390699,396060,25376,8,8,1,7,0.875,0.75
