BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1003703,21911.0,21917.0,1435
1005520,21912.0,21917.0,1435
1005521,21912.0,21917.0,1435
1005540,21922.0,21917.0,1435
1005551,152637.0,21917.0,1435
1257668,21913.0,21917.0,1435
1005842,21912.0,21917.0,1435
1005851,21920.0,21917.0,1435
1003710,19711.0,27471.0,1436
1003724,19678.0,19680.0,1438
1003727,19678.0,19680.0,1438
1010673,58530.0,58528.0,1440
1010675,58530.0,58528.0,1440
1010677,58530.0,58528.0,1440
1003736,58530.0,58528.0,1440
1005869,21884.0,21883.0,1449
1007678,5478.0,5481.0,1458
1005505,83808.0,5478.0,1461
1025329,25283.0,12911.0,1475
1020839,16215.0,16187.0,1493
1309273,16127.0,16187.0,1493
1078924,16215.0,16187.0,1493
1071100,16215.0,16187.0,1493
1013932,16215.0,16187.0,1493
1079319,16127.0,16187.0,1493
1015005,16215.0,16187.0,1493
1079417,16188.0,16187.0,1493
1015269,16215.0,16187.0,1493
1079418,16188.0,16187.0,1493
1301684,16127.0,16187.0,1493
1079340,16127.0,16187.0,1493
1079469,16188.0,16187.0,1493
1079470,16188.0,16187.0,1493
1079471,16188.0,16187.0,1493
1079472,16188.0,16187.0,1493
1080501,26351.0,16187.0,1493
1080502,26351.0,16187.0,1493
1079342,16127.0,16187.0,1493
1079343,16127.0,16187.0,1493
1080506,26351.0,16187.0,1493
1080508,26351.0,16187.0,1493
1080509,26351.0,16187.0,1493
1079610,26351.0,16187.0,1493
1080511,26351.0,16187.0,1493
1026468,16215.0,16187.0,1493
1079611,26351.0,16187.0,1493
1079609,26351.0,16187.0,1493
1079608,26351.0,16187.0,1493
1080510,26351.0,16187.0,1493
1079617,26351.0,16187.0,1493
1044461,16215.0,16187.0,1493
1079491,16188.0,16187.0,1493
1079364,16127.0,16187.0,1493
1079365,16127.0,16187.0,1493
1079366,16127.0,16187.0,1493
1079367,16127.0,16187.0,1493
1079368,16127.0,16187.0,1493
1079370,16127.0,16187.0,1493
1079371,16127.0,16187.0,1493
1079373,16127.0,16187.0,1493
1079374,16127.0,16187.0,1493
1127981,16127.0,16187.0,1493
1079376,16127.0,16187.0,1493
1080533,26351.0,16187.0,1493
1080535,26351.0,16187.0,1493
1080539,26351.0,16187.0,1493
1003882,16215.0,16187.0,1493
1047713,16215.0,16187.0,1493
1080549,26351.0,16187.0,1493
1011409,6657.0,6551.0,1503
1133034,46684.0,8437.0,1512
1004359,13274.0,13311.0,1525
1004002,13193.0,13229.0,1534
1055060,13284.0,13341.0,1540
1021307,376765.0,376773.0,1555
1021308,376765.0,376773.0,1555
1021309,376765.0,376773.0,1555
1004258,376765.0,376773.0,1555
1004260,376765.0,376773.0,1555
1004263,376765.0,376773.0,1555
1025332,64945.0,64942.0,1562
1025333,64945.0,64942.0,1562
1025339,64945.0,64942.0,1562
1025319,64945.0,64942.0,1562
1025320,64945.0,64942.0,1562
1005794,12471.0,12506.0,1565
1004067,12481.0,12506.0,1565
1004226,12680.0,12713.0,1570
1027664,33262.0,58203.0,1576
1097178,,506638.0,1584
1025524,71963.0,64942.0,1589
1025533,71963.0,64942.0,1589
1024670,71963.0,64942.0,1589
1025520,71963.0,64942.0,1589
1004143,13223.0,13202.0,1590
1025530,71963.0,64942.0,1592
1025334,64945.0,64942.0,1606
1024907,64945.0,64942.0,1607
1025449,24846.0,24837.0,1614
1099225,16181.0,26368.0,1616
1004281,22789.0,7486.0,1664
1119488,25509.0,13678.0,1669
1007367,13242.0,13287.0,1670
1026368,13223.0,13249.0,1703
1021421,25390.0,13249.0,1703
1004455,8540.0,23201.0,1723
1004456,8540.0,23201.0,1723
1004420,133432.0,133434.0,1724
1004432,8669.0,8668.0,1725
1021163,8646.0,8669.0,1730
1021199,8646.0,8669.0,1730
1004441,9224.0,23592.0,1732
1004554,133427.0,133428.0,1761
1004555,133427.0,133428.0,1761
1004556,133427.0,133428.0,1761
1004529,133428.0,133427.0,1762
1004581,23048.0,23066.0,1765
1190755,21426.0,3708.0,1766
1048664,23926.0,23936.0,1796
1009051,23926.0,23936.0,1796
1072451,132141.0,132140.0,1829
1127292,71011.0,123833.0,1833
1004949,71011.0,123833.0,1833
1052536,71011.0,123833.0,1833
1004946,71011.0,123833.0,1833
1007880,71011.0,123833.0,1833
1004947,71011.0,123833.0,1833
1005016,9915.0,9967.0,1836
1109845,220476.0,220480.0,1845
1155451,220476.0,220480.0,1845
1312386,220476.0,220480.0,1845
1312387,220476.0,220480.0,1845
1004836,9983.0,23915.0,1878
1005219,109106.0,109104.0,1881
1307210,4746.0,4721.0,1909
1307211,4746.0,4721.0,1909
1307212,4744.0,4721.0,1909
1307213,4744.0,4721.0,1909
1004925,4746.0,4721.0,1909
1119481,396227.0,430002.0,1917
1008326,24698.0,24718.0,1925
1148841,105910.0,2795.0,1933
1150275,105910.0,2795.0,1933
1150277,105910.0,2795.0,1933
1082569,105910.0,2795.0,1933
1148824,105910.0,2795.0,1933
1148825,105910.0,2795.0,1933
1025480,33260.0,33259.0,1946
1025076,10149.0,10140.0,1977
1005143,6657.0,6656.0,1980
1055107,7510.0,7465.0,1992
1005209,116465.0,116463.0,2003
1005412,24363.0,24388.0,2016
1010338,10837.0,24388.0,2016
1310124,6074.0,6069.0,2051
1300943,6074.0,6069.0,2051
1310123,6074.0,6069.0,2051
1006203,11852.0,11897.0,2056
1006204,11852.0,11897.0,2056
1005401,148183.0,143045.0,2057
1006545,9651.0,9637.0,2058
1006530,9766.0,9768.0,2059
1008477,24691.0,11715.0,2067
1005912,5480.0,5479.0,2082
1005480,5464.0,5468.0,2092
1005523,21875.0,21874.0,2111
1005543,5462.0,5461.0,2117
1009033,24071.0,24088.0,2136
1005587,11328.0,11397.0,2140
1005593,1019.0,345275.0,2145
1005672,71963.0,64942.0,2169
1006314,148185.0,148183.0,2172
1095435,148186.0,148183.0,2172
1005678,148186.0,148183.0,2172
1006424,143044.0,148183.0,2172
1006568,148186.0,148183.0,2172
1095461,148186.0,148183.0,2172
1303089,5146.0,5165.0,2241
1148232,25871.0,25840.0,2248
1110108,5236.0,5207.0,2264
1110081,5236.0,5207.0,2264
1005907,5236.0,5207.0,2264
1110058,5236.0,5207.0,2264
1110106,5236.0,5207.0,2264
1110104,5236.0,5207.0,2264
1110073,5236.0,5207.0,2264
1005923,15946.0,15936.0,2272
1005926,14290.0,14321.0,2275
1109836,14290.0,14321.0,2275
1112419,14431.0,14416.0,2277
1127814,14431.0,14416.0,2277
1006011,30364.0,24062.0,2304
1026068,24035.0,24062.0,2304
1011456,136299.0,11205.0,2317
1006685,23950.0,23909.0,2358
1109180,14718.0,14708.0,2369
1006259,14718.0,14708.0,2369
1109160,14718.0,14708.0,2369
1009014,24254.0,10571.0,2388
1006359,10593.0,10532.0,2412
1006427,12055.0,12024.0,2435
1006428,12055.0,12024.0,2435
1075314,21824.0,425118.0,2447
1014398,405742.0,425118.0,2447
1007057,30364.0,24069.0,2479
1007054,30364.0,24069.0,2479
1006593,10102.0,10136.0,2480
1006598,11149.0,11186.0,2482
1094415,439437.0,11186.0,2482
1006794,10317.0,10245.0,2533
1083579,535997.0,535996.0,2541
1232529,,535996.0,2541
1249652,506691.0,535996.0,2541
1156522,535997.0,535996.0,2541
1097212,506690.0,535996.0,2541
1006816,535997.0,535996.0,2541
1077055,506690.0,535996.0,2541
1097164,535997.0,535996.0,2541
1021215,12214.0,12271.0,2549
1092725,16232.0,16268.0,2571
1092374,16262.0,16268.0,2571
1092312,16262.0,16268.0,2571
1092313,16232.0,16268.0,2571
1092314,16232.0,16268.0,2571
1080677,16262.0,16268.0,2571
1092345,16262.0,16268.0,2571
1092347,16262.0,16268.0,2571
1012954,10245.0,24288.0,2580
1014643,129261.0,129264.0,2603
1025042,259197.0,343323.0,2633
1163437,259197.0,343323.0,2633
1012967,259197.0,343323.0,2633
1025619,10416.0,10336.0,2641
1007797,24101.0,24086.0,2646
1265550,,384443.0,2660
1021870,11987.0,24777.0,2664
1265541,14421.0,444268.0,2676
1127091,2498.0,444268.0,2676
1127095,2498.0,444268.0,2676
1265302,14421.0,444268.0,2676
1132538,24862.0,24882.0,2690
1134441,24862.0,24882.0,2690
1007399,24891.0,24882.0,2690
1039735,9080.0,9030.0,2691
1039736,9080.0,9030.0,2691
1039737,9080.0,9030.0,2691
1039738,9080.0,9030.0,2691
1039742,23526.0,9030.0,2691
1039743,9080.0,9030.0,2691
1011424,23361.0,9030.0,2691
1039747,23526.0,9030.0,2691
1048079,23526.0,9030.0,2691
1046633,23526.0,9030.0,2691
1007313,33623.0,33617.0,2703
1007350,33623.0,33617.0,2703
1007351,33623.0,33617.0,2703
1007352,33623.0,33617.0,2703
1008559,33616.0,33617.0,2703
1008566,33616.0,33617.0,2703
1008568,33616.0,33617.0,2703
1008631,33616.0,33617.0,2703
1007311,33623.0,33617.0,2703
1257381,63655.0,3533.0,2708
1130978,482623.0,482621.0,2730
1137819,482622.0,482621.0,2730
1158562,11967.0,482621.0,2730
1007400,482623.0,482621.0,2730
1283270,482623.0,482621.0,2730
1034755,482623.0,482621.0,2730
1025254,12705.0,25132.0,2738
1025106,10616.0,10636.0,2742
1025644,12688.0,25174.0,2791
1226885,23030.0,23047.0,2813
1009171,158740.0,677.0,2833
1013844,324.0,317.0,2857
1131749,25375.0,25371.0,2912
1008288,11349.0,24576.0,2995
1008361,145599.0,145600.0,3008
1303991,22401.0,6804.0,3025
1128296,22424.0,6804.0,3025
1303967,22424.0,6804.0,3025
1303969,22424.0,6804.0,3025
1304205,22401.0,6804.0,3025
1008441,22424.0,6804.0,3025
1020061,384655.0,384494.0,3031
1097041,384655.0,384494.0,3031
1097043,384655.0,384494.0,3031
1097044,384655.0,384494.0,3031
1096111,384653.0,384494.0,3031
1008463,384655.0,384494.0,3031
1096949,384653.0,384494.0,3031
1079473,16188.0,384494.0,3031
1096970,384653.0,384494.0,3031
1095369,384656.0,384494.0,3031
1026350,384655.0,384494.0,3031
1095387,384656.0,384494.0,3031
1096079,384653.0,384494.0,3031
1096080,384653.0,384494.0,3031
1097020,384653.0,384494.0,3031
1096484,384656.0,384494.0,3031
1096133,384013.0,370355.0,3047
1211244,345435.0,370355.0,3047
1206121,370356.0,370355.0,3047
1206122,370356.0,370355.0,3047
1206412,370356.0,370355.0,3047
1119040,370357.0,370355.0,3047
1015383,345435.0,370355.0,3047
1095367,384013.0,370355.0,3047
1179714,345435.0,370355.0,3047
1129318,384013.0,370355.0,3047
1312238,345435.0,370355.0,3047
1008565,370356.0,370355.0,3047
1138789,282566.0,370355.0,3047
1012902,11782.0,11770.0,3048
1008719,139848.0,139846.0,3069
1010797,24660.0,11594.0,3077
1012911,11732.0,11740.0,3091
1010066,35170.0,24581.0,3097
1008888,11377.0,11313.0,3107
1232532,,506639.0,3112
1009120,420267.0,415483.0,3171
1138579,420268.0,415483.0,3171
1025954,12470.0,12541.0,3175
1048995,12470.0,12541.0,3175
1054829,33260.0,33261.0,3195
1009286,350227.0,350226.0,3204
1009289,350227.0,350226.0,3204
1164746,17270.0,17254.0,3207
1164620,17270.0,17254.0,3207
1210150,17227.0,17254.0,3207
1164623,17270.0,17254.0,3207
1164658,17301.0,17254.0,3207
1164621,17270.0,17254.0,3207
1009248,17353.0,17254.0,3207
1010176,10916.0,24468.0,3234
1009442,390898.0,390901.0,3251
1010376,24240.0,10491.0,3277
1128761,131184.0,131185.0,3289
1010385,49568.0,35177.0,3303
1047083,453820.0,391373.0,3304
1127179,453820.0,391373.0,3304
1010725,90212.0,135340.0,3317
1095565,391424.0,391422.0,3359
1095568,391424.0,391422.0,3359
1009879,391423.0,391422.0,3359
1250163,391423.0,391422.0,3359
1251044,391423.0,391422.0,3359
1096264,391423.0,391422.0,3359
1095333,391424.0,391422.0,3359
1096533,391424.0,391422.0,3359
1250310,391423.0,391422.0,3359
1128266,391423.0,391422.0,3359
1215697,391423.0,391422.0,3359
1096287,391423.0,391422.0,3359
1097090,391423.0,391422.0,3359
1097092,391423.0,391422.0,3359
1097106,391423.0,391422.0,3359
1095373,391424.0,391422.0,3359
1097111,391423.0,391422.0,3359
1095522,391424.0,391422.0,3359
1096469,391424.0,391422.0,3359
1250378,391424.0,391422.0,3359
1096480,391424.0,391422.0,3359
1128337,391424.0,391422.0,3359
1010560,88606.0,88607.0,3365
1021663,390901.0,390898.0,3393
1073653,536045.0,391292.0,3401
1145648,2853.0,2870.0,3452
1145619,2853.0,2870.0,3452
1010398,49568.0,49567.0,3500
1010609,79969.0,79968.0,3517
1217152,280968.0,281275.0,3525
1137403,4311.0,4269.0,3592
