BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1002117,3,2,0,1,0.5
1002119,3,2,0,1,0.5
1002121,1,19,18,0,0.0
1002122,1,19,18,0,0.0
1002124,3,1,0,2,0.0
1002130,1,4,3,0,0.0
1002138,1,3,2,0,0.0
1002142,1,2,1,0,0.0
1002143,1,2,1,0,0.0
1002148,6,4,0,2,0.6
1002149,6,4,0,2,0.6
1002150,6,4,0,2,0.6
1002155,4,1,0,3,0.0
1002159,4,1,0,3,0.0
1002168,3,19,16,0,0.1111
1002170,2,19,17,0,0.0556
1002171,3,19,16,0,0.1111
1002172,9,5,0,4,0.5
1002173,9,5,0,4,0.5
1002174,9,5,0,4,0.5
1002183,6,7,1,0,0.8333
1002184,23,10,3,16,0.24
1002185,23,10,3,16,0.24
1002186,23,10,3,16,0.24
1002187,1,10,9,0,0.0
1002194,2,3,1,0,0.5
1002197,2,1,0,1,0.0
1002200,8,7,0,1,0.8571
1002201,8,7,0,1,0.8571
1002202,8,7,0,1,0.8571
1002203,8,1,0,7,0.0
1002207,4,3,0,1,0.6667
1002209,2,3,1,0,0.5
1002212,4,3,0,1,0.6667
1002213,4,3,0,1,0.6667
1002214,4,1,0,3,0.0
1002216,7,8,1,0,0.8571
1002219,7,8,1,0,0.8571
1002220,21,7,1,15,0.2381
1002221,1,13,12,0,0.0
1002222,23,13,1,11,0.4783
1002232,10,13,3,0,0.75
1002233,23,6,0,17,0.2273
1002234,23,6,0,17,0.2273
1002235,23,6,0,17,0.2273
1002240,4,3,0,1,0.6667
1002242,4,1,0,3,0.0
1002243,4,3,0,1,0.6667
1002246,3,1,0,2,0.0
1002247,3,2,0,1,0.5
1002248,10,4,0,6,0.3333
1002251,6,7,1,0,0.8333
1002264,7,1,0,6,0.0
1002265,1,10,9,0,0.0
1002277,5,3,0,2,0.5
1002289,9,10,1,0,0.8889
1002291,9,10,1,0,0.8889
1002292,7,8,1,0,0.8571
1002293,7,8,1,0,0.8571
1002294,7,8,1,0,0.8571
1002295,10,7,0,3,0.6667
1002296,1,5,4,0,0.0
1002297,25,26,1,0,0.96
1002303,7,8,1,0,0.8571
1002308,2,1,0,1,0.0
1002314,4,1,0,3,0.0
1002315,2,1,0,1,0.0
1002325,5,1,0,4,0.0
1002338,1,6,5,0,0.0
1002340,21,6,2,17,0.1364
1002341,25,26,1,0,0.96
1002342,21,2,0,19,0.05
1002343,21,6,2,17,0.1364
1002348,8,7,0,1,0.8571
1002350,8,7,0,1,0.8571
1002352,9,8,0,1,0.875
1002353,7,6,0,1,0.8333
1002357,7,8,1,0,0.8571
1002359,7,8,1,0,0.8571
1002360,23,6,0,17,0.2273
1002361,9,5,1,5,0.3333
1002362,9,5,1,5,0.3333
1002364,25,26,1,0,0.96
1002365,1,5,4,0,0.0
1002367,10,13,4,1,0.6154
1002368,5,4,0,1,0.75
1002370,6,2,0,4,0.2
1002372,7,8,2,1,0.625
1002374,8,8,1,1,0.75
1002375,9,7,0,2,0.75
1002376,37,13,2,26,0.2632
1002377,4,5,3,2,0.1667
1002378,2,5,3,0,0.25
1002380,37,13,2,26,0.2632
1002381,23,6,0,17,0.2273
1002382,23,6,0,17,0.2273
1002383,23,1,0,22,0.0
1002384,7,6,0,1,0.8333
1002388,26,17,4,13,0.4138
1002389,26,17,4,13,0.4138
1002390,26,1,0,25,0.0
1002392,7,8,1,0,0.8571
1002394,8,7,0,1,0.8571
1002395,8,7,0,1,0.8571
1002398,26,17,4,13,0.4138
1002399,26,17,4,13,0.4138
1002400,6,7,1,0,0.8333
1002401,6,7,1,0,0.8333
1002402,10,9,0,1,0.8889
1002403,6,7,1,0,0.8333
1002409,7,9,2,0,0.75
1002410,1,9,8,0,0.0
1002411,7,9,2,0,0.75
1002413,1,8,7,0,0.0
1002414,9,2,0,7,0.125
1002415,9,8,1,2,0.6667
1002420,10,11,1,0,0.9
1002423,10,11,1,0,0.9
1002436,6,7,1,0,0.8333
1002437,6,7,1,0,0.8333
1002438,6,7,1,0,0.8333
1002439,6,7,1,0,0.8333
1002440,9,9,1,1,0.7778
1002441,9,9,1,1,0.7778
1002448,9,3,0,6,0.25
1002449,9,3,0,6,0.25
1002450,9,4,0,5,0.375
1002455,2,19,17,0,0.0556
1002456,1,7,6,0,0.0
1002457,8,7,1,2,0.625
1002459,6,7,1,0,0.8333
1002463,6,7,1,0,0.8333
1002464,9,1,0,8,0.0
1002466,9,8,1,2,0.6667
1002468,6,7,1,0,0.8333
1002470,1,7,6,0,0.0
1002471,6,7,1,0,0.8333
1002477,8,7,1,2,0.625
1002480,7,8,1,0,0.8571
1002482,7,8,1,0,0.8571
1002483,7,8,1,0,0.8571
1002484,7,8,1,0,0.8571
1002485,1,8,7,0,0.0
1002486,7,8,1,0,0.8571
1002487,7,8,1,0,0.8571
1002488,22,8,0,14,0.3333
1002489,22,8,0,14,0.3333
1002490,22,8,0,14,0.3333
1002491,22,8,0,14,0.3333
1002493,22,6,0,16,0.2381
1002494,16,9,0,7,0.5333
1002496,7,8,1,0,0.8571
1002497,1,8,7,0,0.0
1002498,7,8,1,0,0.8571
1002499,7,8,1,0,0.8571
1002507,16,4,0,12,0.2
1002509,16,4,0,12,0.2
1002510,16,12,0,4,0.7333
1002511,16,12,0,4,0.7333
1002512,2,4,2,0,0.3333
1002513,2,4,2,0,0.3333
1002514,2,4,2,0,0.3333
1002515,2,4,2,0,0.3333
1002522,9,8,0,1,0.875
1002525,7,19,12,0,0.3333
1002532,14,8,1,7,0.4286
1002533,1,6,5,0,0.0
1002534,22,6,4,20,0.04
1002535,7,8,1,0,0.8571
1002537,7,6,0,1,0.8333
