BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_SPID,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_LID,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_LID,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1232497,,444308,22687,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,4166762975,7311 CORNICE PT,COLO SPGS,38.93820196,-104.6840843,,-104.6840843,38.93820196,38.938197,-104.684069,1.4,False,,,,,,,,,PD109667,PD109667,12FR-31,UG Transformer Bank,RCWH-13,38.93841438,-104.6842845,50,,29.3,new_assignment
1232503,,536187,22715,10,7,0,7,1.0,1.0,1.0,9,3,3,1.0,2499337392,5132 DEVERS CT,COLO SPGS,38.7572832,-104.6664412,12HZ-13,-104.6664412,38.7572832,38.757252,-104.666429,3.6,False,,,,,,,,,PD110648,PD110648,12HZ-13,UG Transformer Bank,RBH1-22,38.75691615,-104.6662337,50,,44.6,new_assignment
1232964,,536187,22715,10,7,0,7,1.0,1.0,1.0,9,3,3,1.0,6308202913,5144 DEVERS CT,COLO SPGS,38.7571035,-104.6665103,12HZ-13,-104.6665103,38.7571035,38.757069,-104.6665,3.9,False,,,,,,,,,PD110648,PD110648,12HZ-13,UG Transformer Bank,RBH1-22,38.75691615,-104.6662337,50,,31.8,new_assignment
1232555,,536187,22715,10,7,0,7,1.0,1.0,1.0,9,3,3,1.0,3573338061,5133 DEVERS CT,COLO SPGS,38.75737077,-104.6661552,12HZ-13,-104.6661552,38.75737077,38.75734,-104.666185,4.3,False,,,,,,,,,PD110648,PD110648,12HZ-13,UG Transformer Bank,RBH1-22,38.75691615,-104.6662337,50,,51.0,new_assignment
1132422,,54370,30044,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,7914551161,,,38.90218686,-104.7920103,12C-3,-104.7920103,38.90218686,38.902152,-104.792,4.0,False,,,,,,,,,PD20374,PD020374,12C-3,UG Transformer Bank,RHCP-2,38.90198315,-104.79165,25,,38.5,new_assignment
1209985,,3278,36075,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0,6752827002,126 N CHESTNUT ST,COLO SPGS,38.83664959,-104.8361923,,-104.8361923,38.83664959,38.836616,-104.836183,3.8,False,,,,,,,,,OH26874,OH026874,12FT-4,OH Transformer Bank,,38.83654193,-104.8364708,25,,26.9,new_assignment
1000795,,383756,175,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,1932509278,8040 W US HIGHWAY 24,,38.89630943,-104.9703803,,-104.9703803,38.89630943,38.962594,-104.756474,19917.0,True,,,,,,,,,PD21737,PD021737,13BG-3,UG Transformer Bank,CPAB-3,38.96272599,-104.7564088,50,,19927.7,new_assignment
1008085,,6229,2611,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,7118179109,8343 OLD EXCHANGE DR,COLO SPGS,38.95574915,-104.7597446,13CW-11,-104.7597446,38.95574915,38.955736,-104.759656,7.8,False,,,,,,,,,PD15652,PD015652,13CW-11,UG Transformer Bank,RCP2-40,38.95612056,-104.7601133,25,,52.2,new_assignment
1232532,,506639,2781,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,2769477031,7851 DESERT WRANGLER DR,COLO SPGS,38.94532697,-104.6579118,12FR-32,-104.6579118,38.94532697,38.945405,-104.657921,8.7,False,,,,,,,,,PD110636,PD110636,12FR-32,UG Transformer Bank,RP1-5,38.94513915,-104.6582137,25,,33.4,new_assignment
1013016,,194556,3784,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,6760398701,"3997 RADIANT DR, CELL POLE",COLO SPGS,38.86795214,-104.7546063,13RI-2,-104.7546063,38.86795214,38.929091,-104.675714,9634.7,True,,,,,,,,,PD22399,PD022399,12ST-22,UG Transformer Bank,RBLR-143,38.92930879,-104.6755123,25,,9664.2,new_assignment
1037179,,384088,4578,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,1521452699,8755 SCARBOROUGH DR,COLO SPGS,38.9570014,-104.7383173,,-104.7383173,38.9570014,38.978713,-104.733024,2457.2,True,,,,,,,,,PD108046,PD108046,12KC-42,UG Transformer Bank,RC6-21,38.978972,-104.7330952,50,,2484.4,new_assignment
1031540,,85727,8395,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,1380684780,1133 NORWOOD AVE,COLO SPGS,38.79939587,-104.8074868,13HK-2,-104.8074868,38.79939587,38.799422,-104.807477,3.0,False,,,,,,,,,OH28726,OH028726,13HK-2,OH Transformer Bank,,38.79917251,-104.8069795,25,,50.5,new_assignment
1127228,,530639,8962,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,5650533313,"3685 VERDE DR, ELEC",COLO SPGS,38.81085487,-104.7605516,,-104.7605516,38.81085487,38.977788,-104.710689,19057.1,True,,,,,,,,,PD110845,PD110845,12BG-23,UG Transformer Bank,REWR4-5,38.97801969,-104.7107344,25,,19081.3,new_assignment
1045709,,23142,11509,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,7641986816,1560 OWL RIDGE DR,COLO SPGS,38.92548429,-104.8541783,12OV-2,-104.8541783,38.92548429,38.925494,-104.854171,1.3,False,,,,,,,,,PD8945,PD008945,12OV-2,UG Transformer Bank,RVSF-46,38.92530789,-104.8542316,25,,20.1,new_assignment
1281577,,449046,12983,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0,9801062059,10759 SPALDING VW,COLO SPGS,38.98707491,-104.7897292,,-104.7897292,38.98707491,38.987068,-104.789719,1.2,False,,,,,,,,,PD109481,PD109481,12KC-14,UG Transformer Bank,RVR14-14,38.98703984,-104.7898528,25,,11.4,new_assignment
