BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1038963,,0,3
1038972,,0,3
1047879,1.0,6,3
1047882,1.0,6,3
1054946,1.0,6,3
1047926,1.0,6,3
1069070,1.0,6,3
1047923,1.0,6,3
1038974,1.0,6,3
1042527,1.0,4,3
1042535,1.0,4,3
1042529,1.0,4,3
1038975,1.0,4,3
1136666,1.0,4,3
1038998,1.0,5,3
1043215,1.0,5,3
1038976,1.0,5,3
1043216,1.0,5,3
1048148,1.0,5,3
1038978,1.0,5,3
1002463,1.0,6,3
1006002,1.0,6,3
1006004,1.0,6,3
1005998,1.0,6,3
1005996,1.0,6,3
1005995,1.0,6,3
1005997,1.0,6,3
1047874,1.0,7,3
1038977,1.0,7,3
1047881,1.0,7,3
1046295,1.0,7,3
1047872,1.0,7,3
1047871,1.0,7,3
1038980,1.0,7,3
1047873,1.0,7,3
1038984,1.0,8,3
1058945,1.0,8,3
1038979,1.0,8,3
1038985,1.0,8,3
1038988,1.0,8,3
1038983,1.0,8,3
1038986,1.0,8,3
1038982,1.0,8,3
1038981,1.0,8,3
1038987,1.0,4,3
1038990,1.0,4,3
1038989,1.0,4,3
1038993,1.0,4,3
1038991,1.0,4,3
1038994,0.667,2,3
1195296,0.333,2,3
1152851,0.667,2,3
1043926,1.0,6,3
1065033,1.0,6,3
1043924,1.0,6,3
1043925,1.0,6,3
1038995,1.0,6,3
1065005,1.0,6,3
1043923,1.0,6,3
1065034,1.0,1,3
1038996,1.0,1,3
1038997,1.0,5,3
1043916,1.0,5,3
1043949,1.0,5,3
1039003,1.0,5,3
1043918,1.0,5,3
1043917,1.0,5,3
1250869,1.0,7,3
1043907,1.0,7,3
1043908,1.0,7,3
1065036,1.0,7,3
1136618,1.0,7,3
1043910,1.0,7,3
1043909,1.0,7,3
1039004,1.0,7,3
1043903,1.0,4,3
1039005,1.0,4,3
1043906,1.0,4,3
1043905,1.0,4,3
1039006,1.0,4,3
1039007,,0,3
1000677,1.0,1,3
1194984,1.0,1,3
1002464,,0,3
1039009,,0,3
1039022,1.0,5,3
1039019,1.0,5,3
1039011,1.0,5,3
1039021,1.0,5,3
1039012,1.0,5,3
1039010,1.0,5,3
1039013,,0,3
1039014,1.0,7,3
1039025,1.0,7,3
1039018,1.0,7,3
1039026,1.0,7,3
1039015,1.0,7,3
1039016,1.0,7,3
1039020,1.0,7,3
1039017,1.0,7,3
1043963,1.0,5,3
1041231,1.0,5,3
1041232,1.0,5,3
1039027,1.0,5,3
1041234,1.0,5,3
1039776,1.0,5,3
1039030,1.0,2,3
1039032,1.0,2,3
1039033,1.0,2,3
1039031,,0,3
1039034,,0,3
1039038,1.0,5,3
1039044,1.0,5,3
1039048,1.0,5,3
1039047,1.0,5,3
1039045,1.0,5,3
1039046,1.0,5,3
1039049,,0,3
1008296,1.0,4,3
1008297,1.0,4,3
1002467,1.0,4,3
1008290,1.0,4,3
1008752,1.0,4,3
1039052,,0,3
1056047,1.0,6,3
1039057,1.0,6,3
1039056,1.0,6,3
1039058,1.0,6,3
1039060,1.0,6,3
1039054,1.0,6,3
1039053,1.0,6,3
1039059,,0,3
1039062,1.0,1,3
1039063,1.0,1,3
1039064,,0,3
1039067,,0,3
1039070,1.0,5,3
1039069,1.0,5,3
1039072,1.0,5,3
1039074,1.0,5,3
1039071,1.0,5,3
1039073,1.0,5,3
1039075,,0,3
1039076,,0,3
1039077,,0,3
1002468,,0,3
1039080,1.0,6,3
1039079,1.0,6,3
1039078,1.0,6,3
1039087,1.0,6,3
1039085,1.0,6,3
1039088,1.0,6,3
1039086,1.0,6,3
1039083,1.0,7,3
1040288,1.0,7,3
1039089,1.0,7,3
1039084,1.0,7,3
1039081,1.0,7,3
1040287,1.0,7,3
1065146,1.0,7,3
1065145,1.0,7,3
1039082,,0,3
1039090,,0,3
1039098,0.958,8,3
1039093,0.958,8,3
1039091,0.958,8,3
1039097,0.958,8,3
1039095,0.958,8,3
1039092,0.958,8,3
1039096,0.958,8,3
1039094,0.958,8,3
1039099,0.667,8,3
1039714,1.0,5,3
1039100,1.0,5,3
1040285,1.0,5,3
1040286,1.0,5,3
1039713,1.0,5,3
1039102,1.0,5,3
1039679,1.0,4,3
1039683,1.0,4,3
1046581,1.0,4,3
1039101,1.0,4,3
1039680,1.0,4,3
1039105,1.0,9,3
1046717,1.0,9,3
1046733,1.0,9,3
1046731,1.0,9,3
1046716,1.0,9,3
1039103,1.0,9,3
1039104,1.0,9,3
1046734,1.0,9,3
1039110,1.0,9,3
1039106,1.0,9,3
1039156,1.0,10,3
1039121,1.0,10,3
1039158,1.0,10,3
1039157,1.0,10,3
1098051,1.0,10,3
1039120,1.0,10,3
1039109,1.0,10,3
1046732,1.0,10,3
1074219,1.0,10,3
1039155,1.0,10,3
1039107,1.0,10,3
1039108,,0,3
1002472,,0,3
1039111,1.0,7,3
1039114,1.0,7,3
1039169,1.0,7,3
1250557,1.0,7,3
1136153,1.0,7,3
1039168,1.0,7,3
1039113,1.0,7,3
1039112,1.0,7,3
1039119,1.0,1,3
1098311,1.0,1,3
1039122,,0,3
1039123,1.0,7,3
1046763,1.0,7,3
1046764,1.0,7,3
1039124,1.0,7,3
1039190,1.0,7,3
1046765,1.0,7,3
1039188,1.0,7,3
1046766,1.0,7,3
1039175,1.0,10,3
1039174,1.0,10,3
1097187,1.0,10,3
1039186,1.0,10,3
1039178,1.0,10,3
1251015,1.0,10,3
1039184,1.0,10,3
1039183,1.0,10,3
1039126,1.0,10,3
1039176,1.0,10,3
1039185,1.0,10,3
1039129,1.0,6,3
1039141,1.0,6,3
1039149,1.0,6,3
1039148,1.0,6,3
1039147,1.0,6,3
1048092,1.0,6,3
1039150,1.0,6,3
1039134,1.0,5,3
1039131,1.0,5,3
1039138,1.0,5,3
1039133,1.0,5,3
1043256,1.0,5,3
1039132,1.0,5,3
1039192,1.0,5,3
1039137,1.0,5,3
1039135,1.0,5,3
1039171,1.0,5,3
1039193,1.0,5,3
1043277,1.0,5,3
1039136,,0,3
1039151,,0,3
1002473,,0,3
1039161,1.0,1,3
1249698,1.0,1,3
1039164,,0,3
1039167,,0,3
1138766,1.0,8,3
1138768,1.0,8,3
1138763,1.0,8,3
1138769,1.0,8,3
1062727,1.0,8,3
1138767,1.0,8,3
1148442,1.0,8,3
1039170,1.0,8,3
1088256,1.0,8,3
1039177,,0,3
1138424,1.0,7,3
1039180,1.0,7,3
1088239,1.0,7,3
1088428,1.0,7,3
1082639,1.0,7,3
1088208,1.0,7,3
1083308,1.0,7,3
1088457,1.0,7,3
1039187,,0,3
1039189,,0,3
1039201,,0,3
1039260,1.0,5,3
1065136,1.0,5,3
1039267,1.0,5,3
1042233,1.0,5,3
1042232,1.0,5,3
1039206,1.0,5,3
1002475,,0,3
1040971,1.0,3,3
1040970,1.0,3,3
1039207,1.0,3,3
1039211,1.0,3,3
1039210,1.0,6,3
1044950,1.0,6,3
1041751,1.0,6,3
1041754,1.0,6,3
1039208,1.0,6,3
1039209,1.0,6,3
1041755,1.0,6,3
1041760,1.0,5,3
1041759,1.0,5,3
1039212,1.0,5,3
1041761,1.0,5,3
1039213,1.0,5,3
1041753,1.0,5,3
1041763,1.0,6,3
1041762,1.0,6,3
1039215,1.0,6,3
1048096,1.0,6,3
1039216,1.0,6,3
1039214,1.0,6,3
1041764,1.0,6,3
1039219,1.0,6,3
1039221,1.0,6,3
1043343,1.0,6,3
1039220,1.0,6,3
1043345,1.0,6,3
1043344,1.0,6,3
1039217,1.0,6,3
1039218,,0,3
1039239,1.0,3,3
1039223,1.0,3,3
1039224,1.0,3,3
1039225,1.0,3,3
1039228,1.0,6,3
1039226,1.0,6,3
1039234,1.0,6,3
1039227,1.0,6,3
1039235,1.0,6,3
1039237,1.0,6,3
1039236,1.0,6,3
1039231,,0,3
1039238,1.0,3,3
1039240,1.0,3,3
1039242,1.0,3,3
1039241,1.0,3,3
1005754,1.0,5,3
1005779,1.0,5,3
1006523,1.0,5,3
1002476,1.0,5,3
1008234,1.0,5,3
1006522,1.0,5,3
1039245,1.0,6,3
1039257,1.0,6,3
1039255,1.0,6,3
1039258,1.0,6,3
1039243,1.0,6,3
1039259,1.0,6,3
1039244,1.0,6,3
1039247,1.0,5,3
1039253,1.0,5,3
1039256,1.0,5,3
1039252,1.0,5,3
1039246,1.0,5,3
1039254,1.0,5,3
1058509,1.0,5,3
1039251,1.0,5,3
1039250,1.0,5,3
1043019,1.0,5,3
1039249,1.0,5,3
1039248,1.0,5,3
1045182,1.0,6,3
1065123,1.0,6,3
1039264,1.0,6,3
1039269,1.0,6,3
1045186,1.0,6,3
1045183,1.0,6,3
1039263,1.0,6,3
1044872,1.0,4,3
1044874,1.0,4,3
1044875,1.0,4,3
1044873,1.0,4,3
1039265,1.0,4,3
1039266,,0,3
1047932,0.905,7,3
1047934,0.905,7,3
1047875,0.333,7,3
1039268,0.905,7,3
1047877,0.905,7,3
1047878,0.905,7,3
1047876,0.905,7,3
1047933,0.905,7,3
1048160,1.0,7,3
1048189,1.0,7,3
1048190,1.0,7,3
1039270,1.0,7,3
1048188,1.0,7,3
1048187,1.0,7,3
1048159,1.0,7,3
1048162,1.0,7,3
1046889,1.0,9,3
1046888,1.0,9,3
1041158,1.0,9,3
1041155,1.0,9,3
1065153,1.0,9,3
1046887,1.0,9,3
1046970,1.0,9,3
1041157,1.0,9,3
1046969,1.0,9,3
1039271,1.0,9,3
1039272,,0,3
1002477,,0,3
1041038,0.905,7,3
1043712,0.905,7,3
1043711,0.905,7,3
1043773,0.905,7,3
1136981,0.714,7,3
1039273,0.905,7,3
1041081,0.905,7,3
1135296,0.714,7,3
1039816,1.0,8,3
1132417,1.0,8,3
1039810,1.0,8,3
1250239,1.0,8,3
1136576,1.0,8,3
1039803,1.0,8,3
1039815,1.0,8,3
1250914,1.0,8,3
1039274,1.0,8,3
1039279,,0,3
1039280,1.0,5,3
1040402,1.0,5,3
1057216,1.0,5,3
1042183,1.0,5,3
1042198,1.0,5,3
1059039,1.0,5,3
1065135,1.0,1,3
1039285,1.0,1,3
1042489,1.0,5,3
1039286,1.0,5,3
1040932,1.0,5,3
1119858,1.0,5,3
1072292,1.0,5,3
1042493,1.0,5,3
1042448,1.0,5,3
1040966,1.0,5,3
1042450,1.0,5,3
1040975,1.0,5,3
1042449,1.0,5,3
1039287,1.0,5,3
1042213,1.0,6,3
1042199,1.0,6,3
1042212,1.0,6,3
1039288,1.0,6,3
1084698,1.0,6,3
1042182,1.0,6,3
1044947,1.0,6,3
1045071,1.0,4,3
1057441,1.0,4,3
1039289,1.0,4,3
1045074,1.0,4,3
1044320,1.0,4,3
1115082,0.926,9,3
1228733,0.926,9,3
1311349,0.926,9,3
1039290,0.926,9,3
1300848,0.926,9,3
1302284,0.333,9,3
1225730,0.926,9,3
1225731,0.926,9,3
1150185,0.926,9,3
1300847,0.926,9,3
1002478,,0,3
1039292,,0,3
1042250,1.0,8,3
1042264,1.0,8,3
1042265,1.0,8,3
1042263,1.0,8,3
1039293,1.0,8,3
1040570,1.0,8,3
1040569,1.0,8,3
1040567,1.0,8,3
1043425,1.0,8,3
1043211,1.0,9,3
1128995,1.0,9,3
1039294,1.0,9,3
1043206,1.0,9,3
1135052,1.0,9,3
1234804,1.0,9,3
1043207,1.0,9,3
1043205,1.0,9,3
1128730,1.0,9,3
1043204,1.0,9,3
1039298,1.0,5,3
1039300,1.0,5,3
1039304,1.0,5,3
1039295,1.0,5,3
1039297,1.0,5,3
1039299,1.0,5,3
1039296,,0,3
1039301,,0,3
1039302,,0,3
1039303,,0,3
1039308,1.0,4,3
1039310,1.0,4,3
1039307,1.0,4,3
1039311,1.0,4,3
1039309,1.0,4,3
1039329,1.0,6,3
1039333,1.0,6,3
1039331,1.0,6,3
1039314,1.0,6,3
1039312,1.0,6,3
1039313,1.0,6,3
1039315,1.0,6,3
1027178,1.0,5,3
1005756,1.0,5,3
1002479,1.0,5,3
1005989,1.0,5,3
1005755,1.0,5,3
1005757,1.0,5,3
1039316,,0,3
1039321,1.0,6,3
1039326,1.0,6,3
1039317,1.0,6,3
1039325,1.0,6,3
1039323,1.0,6,3
1065185,1.0,6,3
1039322,1.0,6,3
1039320,,0,3
1039324,,0,3
1039327,1.0,6,3
1135448,1.0,6,3
1039328,1.0,6,3
1048333,1.0,6,3
1065186,1.0,6,3
1039334,1.0,6,3
1046584,1.0,6,3
1039330,,0,3
1039332,,0,3
1039337,1.0,9,3
1046904,1.0,9,3
1046936,1.0,9,3
1039335,1.0,9,3
1046935,1.0,9,3
1046930,1.0,9,3
1046937,1.0,9,3
1039336,1.0,9,3
1046905,1.0,9,3
1046929,1.0,9,3
1039338,,0,3
1039361,1.0,5,3
1039358,1.0,5,3
1039355,1.0,5,3
1039359,1.0,5,3
1039360,1.0,5,3
1039362,1.0,5,3
1000678,,0,3
1002482,1.0,7,3
1002535,1.0,7,3
1002486,1.0,7,3
1002485,1.0,7,3
1002481,1.0,7,3
1002483,1.0,7,3
1002487,1.0,7,3
1002480,1.0,7,3
1039368,1.0,6,3
1039363,1.0,6,3
1039367,1.0,6,3
1039364,1.0,6,3
1039366,1.0,6,3
1039365,1.0,6,3
1039369,1.0,6,3
1039372,1.0,7,3
1039371,1.0,7,3
1039380,1.0,7,3
1040935,1.0,7,3
1039370,1.0,7,3
1039379,1.0,7,3
1041015,1.0,7,3
1041002,1.0,7,3
1039373,,0,3
1039374,1.0,9,3
1040940,1.0,9,3
1039375,1.0,9,3
1039382,1.0,9,3
1040937,1.0,9,3
1040939,1.0,9,3
1039377,1.0,9,3
1039376,1.0,9,3
1040936,1.0,9,3
1040938,1.0,9,3
1039378,,0,3
1039898,1.0,6,3
1039894,1.0,6,3
1039897,1.0,6,3
1039896,1.0,6,3
1039893,1.0,6,3
1039381,1.0,6,3
1039891,1.0,6,3
1039384,1.0,9,3
1042554,1.0,9,3
1042488,1.0,9,3
1058291,1.0,9,3
1042490,1.0,9,3
1039386,1.0,9,3
1039383,1.0,9,3
1042487,1.0,9,3
1039390,1.0,9,3
1040927,1.0,9,3
1039385,,0,3
1039388,1.0,2,3
1039387,1.0,2,3
1039389,1.0,2,3
1039398,1.0,7,3
1044220,1.0,7,3
1044201,1.0,7,3
1044199,1.0,7,3
1039393,1.0,7,3
1044200,1.0,7,3
1039391,1.0,7,3
1039392,1.0,7,3
1002484,,0,3
1039394,,0,3
1039396,,0,3
1039426,1.0,7,3
1039409,1.0,7,3
1044264,1.0,7,3
1044263,1.0,7,3
1044266,1.0,7,3
1039407,1.0,7,3
1044217,1.0,7,3
1044265,1.0,7,3
1039408,,0,3
1039410,,0,3
1039411,,0,3
1039481,1.0,6,3
1039425,1.0,6,3
1039479,1.0,6,3
1039482,1.0,6,3
1039423,1.0,6,3
1039424,1.0,6,3
1039480,1.0,6,3
1039432,1.0,7,3
1043738,1.0,7,3
1119894,1.0,7,3
1119789,1.0,7,3
1072232,1.0,7,3
1072318,1.0,7,3
1043736,1.0,7,3
1119869,1.0,7,3
1039440,,0,3
1039460,,0,3
1008860,1.0,7,3
1002491,1.0,7,3
1002489,1.0,7,3
1002490,1.0,7,3
1009009,1.0,7,3
1004732,1.0,7,3
1008723,1.0,7,3
1002488,1.0,7,3
1039476,,0,3
1042026,1.0,9,3
1052578,1.0,9,3
1042015,1.0,9,3
1073338,1.0,9,3
1042071,1.0,9,3
1042073,1.0,9,3
1042017,1.0,9,3
1042025,1.0,9,3
1042024,1.0,9,3
1039477,1.0,9,3
1039478,,0,3
1039491,,0,3
1039513,1.0,5,3
1039507,1.0,5,3
1039499,1.0,5,3
1039510,1.0,5,3
1039509,1.0,5,3
1039508,1.0,5,3
1039546,1.0,6,3
1039545,1.0,6,3
1039500,1.0,6,3
1039501,1.0,6,3
1039544,1.0,6,3
1039543,1.0,6,3
1039502,1.0,6,3
1039505,1.0,2,3
1039506,1.0,2,3
1039503,1.0,2,3
1039504,,0,3
1039511,,0,3
1039529,0.879,11,3
1039531,0.879,11,3
1097557,0.394,11,3
1041717,0.879,11,3
1039576,0.879,11,3
1039533,0.879,11,3
1134583,0.394,11,3
1039518,0.879,11,3
1039516,0.879,11,3
1039528,0.879,11,3
1039534,0.879,11,3
1039515,0.879,11,3
1010655,1.0,10,3
1002495,1.0,10,3
1010850,1.0,10,3
