BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1130929,,62688,17406,3,2,0,2,1.0,1.0,1.0,2,3,3,1.0
1074805,,4623,17485,3,2,0,2,1.0,1.0,1.0,2,3,3,1.0
1233022,,535995,26775,3,2,0,2,1.0,1.0,1.0,2,3,3,1.0
1257430,,17057,29372,3,2,0,2,1.0,1.0,1.0,2,3,3,1.0
1233901,,873,41071,3,2,0,2,1.0,1.0,1.0,2,3,3,1.0
1232956,,391281,46465,4,2,0,2,1.0,1.0,1.0,3,3,3,1.0
1232953,,391281,46465,4,2,0,2,1.0,1.0,1.0,3,3,3,1.0
1000524,,3771,3,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1000972,,725,271,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1011278,,364699,880,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1007679,,120619,2501,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1007953,,25375,2582,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1008423,,1697,2682,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1012567,,3292,3734,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1023321,,4,6357,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1037460,,328317,9771,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1043508,,10378,11098,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1137991,,344171,13614,3,1,0,1,1.0,1.0,1.0,2,3,3,1.0
1137993,,344171,13614,3,1,0,1,1.0,1.0,1.0,2,3,3,1.0
1062586,,1532,14662,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1073864,,23032,17240,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1097547,,130219,21198,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1257411,,11934,29720,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
1133354,,473024,30431,2,1,0,1,1.0,1.0,1.0,1,3,3,1.0
