OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
12696,9,9,2
12706,6,6,2
12707,11,11,3
12709,5,5,2
12715,6,6,4
12716,2,2,2
12719,13,13,5
12723,9,9,3
12724,2,2,2
12729,4,4,2
1273,8,8,2
12733,14,14,8
12736,4,4,3
12737,7,7,2
12738,6,6,2
1274,8,8,2
12742,7,7,4
12743,9,9,3
12748,18,18,6
1276,7,7,2
12760,10,10,2
12762,8,8,2
12766,10,10,2
12771,10,10,2
12774,8,8,2
12777,12,12,3
12780,8,8,3
12781,5,5,2
12782,14,14,2
12783,7,7,2
12785,9,9,2
12789,4,4,2
12794,12,12,3
12795,7,7,2
12796,5,5,2
12800,4,4,3
12807,17,17,6
12811,7,7,3
12815,8,8,3
12822,6,6,2
12825,7,7,4
12826,7,7,2
12828,11,11,2
12830,7,7,2
12832,5,5,2
12834,2,2,2
12840,9,9,3
12841,3,3,2
12842,3,3,2
12843,32,32,2
12844,3,3,2
1286,9,9,2
12876,17,17,2
1288,9,9,3
12889,2,2,2
12894,7,7,4
1290,8,8,5
12900,2,2,2
12908,3,3,2
12909,2,2,2
12920,3,3,3
12921,3,3,2
12923,9,9,5
12929,4,4,2
12930,11,11,3
12935,5,5,2
1294,7,7,2
12941,2,2,2
12953,3,3,2
12958,10,10,7
1296,9,9,3
12967,6,6,2
12970,12,12,2
12974,8,8,2
12979,8,8,2
12982,11,11,3
12986,8,8,2
12987,23,23,3
12988,46,46,2
1299,9,9,2
13,3,3,3
1300,9,9,3
13006,4,4,2
13008,9,9,4
13019,10,10,2
13045,3,3,2
13046,8,8,5
13047,11,11,7
13048,3,3,2
13049,3,3,2
1305,14,14,2
13053,4,4,4
13055,4,4,3
13057,2,2,2
13059,4,4,3
13060,2,2,2
13063,2,2,2
13068,3,3,2
1307,2,2,2
13073,8,8,2
13077,8,8,2
1308,7,7,2
13090,7,7,5
13092,10,10,4
13095,7,7,2
13096,4,4,2
13097,4,4,3
1310,8,8,2
13102,6,6,2
13104,2,2,2
13105,9,9,3
13109,2,2,2
1311,7,7,2
1312,12,12,5
1314,7,7,2
13141,3,3,3
13142,9,9,5
13143,2,2,2
13147,7,7,2
1315,9,9,2
13159,8,8,2
13174,2,2,2
13176,5,5,4
1318,9,9,2
13183,3,3,3
13191,8,8,2
13195,8,8,2
1320,10,10,3
13202,3,3,2
13203,9,9,5
13204,7,7,3
13212,3,3,3
13219,6,6,3
13220,10,10,2
13228,3,3,3
13239,6,6,3
13244,9,9,6
13248,4,4,2
13256,7,7,2
13258,6,6,4
13259,13,13,4
13260,2,2,2
13261,2,2,2
1327,13,13,2
13274,7,7,2
13276,7,7,2
13297,7,7,2
13308,8,8,3
13309,10,10,2
1332,8,8,3
13323,7,7,2
13332,4,4,2
13344,8,8,5
1335,11,11,6
13350,3,3,2
13352,2,2,2
13355,9,9,2
13358,8,8,2
1336,7,7,4
1337,10,10,3
13376,7,7,5
13379,2,2,2
1338,6,6,3
13382,9,9,6
13386,7,7,2
13400,7,7,2
13401,5,5,2
13404,8,8,4
13419,3,3,2
1342,6,6,2
13420,12,12,4
1343,4,4,3
13434,9,9,2
13435,7,7,2
13439,8,8,3
1344,2,2,2
13454,9,9,2
13466,7,7,2
13468,11,11,4
13469,8,8,2
13470,7,7,2
13480,9,9,2
13481,12,12,2
13483,7,7,2
13491,10,10,3
13493,11,11,2
13496,6,6,2
13499,9,9,2
1351,4,4,2
13513,4,4,3
13516,8,8,2
1354,7,7,2
13547,7,7,2
1355,3,3,3
1357,7,7,2
13571,10,10,2
13572,13,13,2
13582,10,10,2
13584,7,7,2
13587,2,2,2
13605,9,9,2
1361,11,11,3
1362,6,6,2
13621,6,6,4
1363,7,7,2
13643,15,15,7
13650,14,14,4
13651,6,6,2
13655,10,10,2
13659,6,6,4
13667,8,8,2
13668,2,2,2
13669,7,7,2
13671,12,12,2
13675,10,10,5
1369,7,7,2
13691,8,8,2
13696,9,9,2
13699,8,8,3
1370,8,8,2
13704,10,10,2
13715,6,6,2
1372,9,9,2
13736,8,8,2
13737,7,7,2
13739,6,6,2
13740,2,2,2
13743,11,11,2
13754,6,6,2
13757,8,8,2
13770,9,9,2
1380,8,8,2
13803,8,8,2
13816,12,12,3
13824,8,8,2
13825,8,8,2
13841,10,10,4
13847,6,6,3
13854,8,8,2
1387,11,11,2
1388,8,8,2
13885,9,9,3
13892,9,9,2
13900,8,8,2
13902,8,8,2
13906,9,9,2
1391,8,8,4
13924,9,9,2
13925,9,9,2
1393,8,8,2
13930,16,16,3
