NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
17664,7,7,2
17672,11,11,2
17689,7,7,2
17690,8,8,2
17695,8,8,2
177,3,3,2
17705,2,2,2
17707,8,8,2
17710,13,13,2
17713,5,5,2
17718,11,11,2
17748,7,7,2
1775,3,3,3
17751,6,6,2
17767,7,7,2
17769,7,7,2
1777,10,10,2
17776,5,5,3
17777,10,10,3
17779,4,4,2
17791,24,24,5
17795,6,6,4
17797,5,5,3
17803,6,6,2
17804,7,7,2
17808,10,10,4
1781,8,8,4
17811,8,8,2
17813,7,7,2
17815,9,9,2
17830,7,7,2
17849,6,6,2
17856,8,8,2
17875,22,22,9
17878,21,21,6
17885,6,6,2
17887,6,6,3
17888,9,9,2
1789,5,5,2
17890,6,6,4
17893,21,21,5
17903,10,10,2
17909,8,8,3
17913,6,6,4
17927,6,6,2
17932,11,11,2
17933,12,12,6
17956,10,10,2
17957,10,10,4
17958,10,10,3
17960,8,8,2
17978,21,21,8
17986,21,21,4
17999,20,20,6
18,4,4,3
1800,7,7,2
18000,8,8,2
18002,21,21,8
18008,24,24,7
1801,7,7,2
18012,13,13,5
18013,8,8,2
18014,3,3,2
18021,17,17,6
18022,7,7,2
18044,7,7,6
18045,24,24,8
18051,7,7,4
18057,20,20,6
18060,21,21,8
18061,21,21,8
1807,6,6,2
18070,25,25,7
18082,8,8,3
18084,13,13,5
18094,6,6,2
18097,22,22,7
181,9,9,2
18101,25,25,9
1811,7,7,2
18114,24,24,6
18119,7,7,2
18126,6,6,2
18129,8,8,2
18148,6,6,3
18149,8,8,5
18150,6,6,2
18151,13,13,5
18154,25,25,7
18155,5,5,2
18158,20,20,7
1816,13,13,2
18161,9,9,3
18166,4,4,2
18168,7,7,3
18181,6,6,2
18185,6,6,2
18191,6,6,2
18198,11,11,4
18201,8,8,2
18204,12,12,3
18205,10,10,2
1821,7,7,3
18224,6,6,2
18229,6,6,2
18241,25,25,9
18242,24,24,8
18252,11,11,3
18254,12,12,2
18277,15,15,5
18278,2,2,2
18279,29,29,9
18285,7,7,2
18303,9,9,2
18305,10,10,4
18308,7,7,2
18309,6,6,2
18323,6,6,2
18324,6,6,2
18325,7,7,3
1834,17,17,6
18345,2,2,2
18347,5,5,4
18363,24,24,6
18368,2,2,2
18370,10,10,4
18375,7,7,4
18379,3,3,2
18385,12,12,2
18388,6,6,2
18389,6,6,3
1839,15,15,7
18392,23,23,6
18393,5,5,2
18394,4,4,3
18395,6,6,2
18397,24,24,8
18398,10,10,3
18399,6,6,3
1840,21,21,7
18400,4,4,2
18401,16,16,7
18402,9,9,2
18403,10,10,2
18404,10,10,4
18405,9,9,4
18406,11,11,5
18407,6,6,3
18411,4,4,2
18413,6,6,3
18418,8,8,2
18421,6,6,2
18425,7,7,2
1843,9,9,2
18433,5,5,3
18445,23,23,5
18452,23,23,8
18456,23,23,6
18486,11,11,2
18488,9,9,2
18489,15,15,8
18490,16,16,8
18493,14,14,6
18494,24,24,9
18495,16,16,7
18497,16,16,8
18498,17,17,4
1850,13,13,2
1851,7,7,2
18513,6,6,2
18514,2,2,2
18515,9,9,4
18519,6,6,2
18520,6,6,2
18532,10,10,4
18540,7,7,2
18548,9,9,2
18551,6,6,2
18555,7,7,2
1857,11,11,2
18574,8,8,2
18576,24,24,8
1860,10,10,2
18602,6,6,4
18605,7,7,3
18606,11,11,4
18613,6,6,2
1862,9,9,3
18621,24,24,8
18622,8,8,2
18623,9,9,3
18624,9,9,3
18626,14,14,6
18628,9,9,2
1863,6,6,3
18636,7,7,2
1864,9,9,5
18642,6,6,2
18645,2,2,2
18647,3,3,2
1866,21,21,8
18665,6,6,2
18667,7,7,2
1867,21,21,7
18671,23,23,6
18672,6,6,4
18675,7,7,3
18684,7,7,4
18687,23,23,2
18692,7,7,2
18704,10,10,2
18705,8,8,2
18706,9,9,2
18730,6,6,2
18732,10,10,4
18741,8,8,2
18742,10,10,3
18746,7,7,2
18754,7,7,2
18770,8,8,2
18774,6,6,4
18779,7,7,2
18783,7,7,2
18784,6,6,3
18787,6,6,2
1880,8,8,5
18804,2,2,2
18805,4,4,2
1881,10,10,3
18817,9,9,2
18820,8,8,2
18824,10,10,3
18825,7,7,2
18832,7,7,3
18833,6,6,2
