OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
13986,8,8,3
13994,2,2,2
13998,10,10,3
14002,8,8,3
14009,15,15,5
14011,12,12,4
14026,9,9,2
14044,7,7,2
14049,7,7,2
14055,7,7,2
14060,11,11,3
14066,4,4,2
14069,9,9,2
14079,10,10,3
14082,7,7,2
14085,10,10,2
14087,13,13,3
14094,9,9,3
14100,8,8,2
14102,9,9,2
14109,8,8,2
1411,9,9,3
14130,16,16,5
14134,7,7,2
14135,10,10,2
14137,7,7,2
14145,7,7,3
14150,9,9,2
14157,13,13,6
14165,8,8,2
14168,8,8,2
14169,10,10,2
14172,9,9,4
14176,8,8,2
14178,10,10,3
14183,11,11,2
14184,5,5,2
14185,8,8,2
14191,13,13,3
142,12,12,2
14201,8,8,2
14204,5,5,2
14211,8,8,2
14246,6,6,2
14248,11,11,3
14260,10,10,2
14261,7,7,2
14262,7,7,3
14264,7,7,2
14265,6,6,3
14268,7,7,2
14274,10,10,2
14275,6,6,2
1428,6,6,2
14280,7,7,2
14281,6,6,3
14284,12,12,2
14296,7,7,2
14297,7,7,2
14299,8,8,2
14306,6,6,2
14311,3,3,2
14313,9,9,3
14319,19,19,2
14328,8,8,3
1433,17,17,2
14335,10,10,2
1434,8,8,2
14340,6,6,3
14344,10,10,2
14350,17,17,2
14353,9,9,2
14358,7,7,3
14366,6,6,2
1437,2,2,2
14377,11,11,2
14390,13,13,2
14394,8,8,2
14395,6,6,3
14398,17,17,3
1440,7,7,2
14402,6,6,2
14404,8,8,2
14405,8,8,2
14409,11,11,3
14415,7,7,2
14416,6,6,4
14424,8,8,2
14435,8,8,2
1444,9,9,3
14441,10,10,3
14445,6,6,2
14449,7,7,2
14462,5,5,2
14468,30,30,3
14473,7,7,3
14475,10,10,2
14476,9,9,2
1449,2,2,2
14493,16,16,2
14505,7,7,2
14516,5,5,2
14519,7,7,2
14526,7,7,2
1454,9,9,2
14544,7,7,2
14545,8,8,2
14546,6,6,2
14548,8,8,2
14564,7,7,2
14575,3,3,2
14594,9,9,3
14596,14,14,2
14598,7,7,2
14603,9,9,4
14605,7,7,2
14616,6,6,2
14618,7,7,2
14619,12,12,2
14628,9,9,2
14630,4,4,2
14634,4,4,2
14636,13,13,2
14638,9,9,2
14649,8,8,3
14661,8,8,2
14663,6,6,2
14670,7,7,2
14671,2,2,2
14674,9,9,4
14677,6,6,2
14682,8,8,2
14686,10,10,3
1469,8,8,2
14696,8,8,2
14704,5,5,2
14711,7,7,2
14716,7,7,2
14736,12,12,2
14738,8,8,2
14746,8,8,3
14753,12,12,2
14759,6,6,3
14761,10,10,2
14763,7,7,3
14767,8,8,2
14785,3,3,3
14786,8,8,2
14787,4,4,2
14788,8,8,2
14791,12,12,3
14794,7,7,3
14795,5,5,3
14796,5,5,3
14802,12,12,2
14804,6,6,3
14806,9,9,4
14816,11,11,2
14819,11,11,3
14825,7,7,2
14837,13,13,2
14839,8,8,3
14847,6,6,2
14849,8,8,2
14858,7,7,2
14863,10,10,2
14888,6,6,2
14889,7,7,2
14890,9,9,2
14896,6,6,2
14910,8,8,2
14920,8,8,2
14922,7,7,2
14924,4,4,2
14941,7,7,2
14943,9,9,2
14946,7,7,2
1495,8,8,3
14957,10,10,5
14963,5,5,2
14971,2,2,2
14972,2,2,2
14976,2,2,2
14979,7,7,2
14981,12,12,2
14989,21,21,4
1499,7,7,2
15004,7,7,2
1501,6,6,2
15010,9,9,2
1502,7,7,2
15025,20,20,2
15029,8,8,2
15034,13,13,5
15037,8,8,2
15044,4,4,3
15052,12,12,4
15062,2,2,2
15065,9,9,2
15066,3,3,3
15070,7,7,3
15075,11,11,3
15082,5,5,2
15087,6,6,2
15093,7,7,2
15098,12,12,2
15107,9,9,2
15108,5,5,3
15111,6,6,2
1512,6,6,2
15123,10,10,2
15131,25,25,3
15133,6,6,2
15142,7,7,2
15144,8,8,2
15145,9,9,2
15149,7,7,4
15161,8,8,3
15164,7,7,4
15175,9,9,2
15198,8,8,2
15203,8,8,2
15204,3,3,3
15205,13,13,3
15223,9,9,2
15230,7,7,2
15234,7,7,2
15239,9,9,2
15255,6,6,4
15262,15,15,6
15269,7,7,2
15276,13,13,5
15287,7,7,2
15288,8,8,2
15290,11,11,4
15291,2,2,2
15296,10,10,2
15310,10,10,3
15320,10,10,2
15325,8,8,2
15331,9,9,2
15336,8,8,3
15338,6,6,3
15340,2,2,2
15349,10,10,2
15350,10,10,3
15353,8,8,2
15360,10,10,2
15371,12,12,2
15372,8,8,3
15378,7,7,2
15392,3,3,2
15393,6,6,2
15402,7,7,2
15412,14,14,3
15414,8,8,2
15418,7,7,2
15423,6,6,2
15424,11,11,2
15428,8,8,2
15432,7,7,3
15435,11,11,2
15436,3,3,2
15437,3,3,2
15446,9,9,3
15453,3,3,3
15454,8,8,3
15465,7,7,2
15491,2,2,2
15498,8,8,2
15507,9,9,2
1551,14,14,4
15512,7,7,2
15515,26,26,2
15523,12,12,4
15525,22,22,3
15526,10,10,4
15533,10,10,2
15535,14,14,4
15537,9,9,2
15547,6,6,3
15548,8,8,4
15576,2,2,2
15582,7,7,2
15583,14,14,3
15594,12,12,2
15596,10,10,3
1560,2,2,2
15606,5,5,2
15617,4,4,2
15618,7,7,2
15622,8,8,3
15627,4,4,2
15628,5,5,4
1563,15,15,5
1564,12,12,4
15642,7,7,2
15664,12,12,2
15665,7,7,2
157,3,3,2
15708,8,8,2
15715,6,6,2
15723,11,11,2
15725,6,6,2
15743,8,8,2
15746,10,10,2
15755,6,6,2
15759,10,10,2
15778,8,8,2
1578,8,8,2
15786,12,12,2
15799,10,10,2
158,8,8,3
15802,16,16,2
15810,7,7,2
15824,7,7,2
15833,4,4,2
1584,7,7,2
15848,6,6,2
15862,8,8,3
15863,9,9,2
15869,8,8,2
15877,4,4,2
1588,7,7,2
15882,6,6,2
159,2,2,2
15903,7,7,2
15904,7,7,2
15913,10,10,2
15922,11,11,2
15936,5,5,2
15941,8,8,3
15942,9,9,2
15950,9,9,3
15952,4,4,2
15961,4,4,2
15968,5,5,2
15975,8,8,2
16010,8,8,2
16013,2,2,2
16025,2,2,2
1604,6,6,2
16049,7,7,2
16069,6,6,2
16074,7,7,2
16078,7,7,2
161,3,3,2
16129,10,10,2
1613,8,8,2
16131,9,9,2
16138,9,9,2
1614,12,12,3
16148,7,7,2
16149,5,5,2
16154,12,12,2
16155,9,9,2
16174,6,6,2
16185,8,8,2
16187,9,9,2
16198,13,13,3
16209,9,9,2
16212,10,10,2
16216,7,7,2
16218,13,13,2
16222,8,8,2
16228,9,9,2
16231,9,9,2
16236,11,11,2
16245,8,8,3
16250,8,8,3
16254,7,7,2
16268,8,8,2
16269,4,4,2
16283,11,11,2
16284,2,2,2
16291,8,8,2
16303,7,7,2
16323,4,4,2
16328,9,9,2
1634,7,7,2
16342,13,13,2
16348,9,9,2
1635,7,7,2
16355,6,6,2
16359,10,10,2
16364,8,8,2
16373,10,10,2
16374,7,7,2
16397,12,12,2
16418,9,9,2
16420,8,8,2
16426,6,6,2
16440,8,8,2
16472,2,2,2
1648,8,8,2
16502,7,7,2
16507,7,7,3
1651,8,8,2
16519,7,7,2
1652,12,12,2
16531,7,7,2
16533,10,10,2
16543,4,4,2
16547,9,9,2
16548,6,6,2
16551,2,2,2
16557,10,10,2
16562,8,8,3
16565,7,7,2
16571,8,8,2
16583,8,8,2
16590,29,29,2
16599,12,12,2
166,8,8,2
16605,3,3,2
16608,8,8,2
16610,9,9,2
16632,9,9,2
16663,9,9,2
16672,14,14,3
1669,12,12,2
