BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1154281,2408,473020,25969,9,9,1,8,0.8889,0.7778
1123978,12282,12286,26217,9,9,1,8,0.8889,0.7778
1123169,12869,12870,26723,9,9,1,8,0.8889,0.7778
1288267,1718,1695,29848,9,9,1,8,0.8889,0.7778
1225238,23812,9816,30104,9,9,1,8,0.8889,0.7778
1210075,1503,1498,30446,9,9,1,8,0.8889,0.7778
1136210,19907,734,30477,9,9,1,8,0.8889,0.7778
1136237,24826,12048,30488,9,9,1,8,0.8889,0.7778
1189766,4538,4532,30767,9,9,1,8,0.8889,0.7778
1143027,24946,24926,31335,9,9,1,8,0.8889,0.7778
1146487,26068,21273,32076,9,9,1,8,0.8889,0.7778
1153112,12154,12163,32993,9,9,1,8,0.8889,0.7778
1157830,17404,17344,33488,9,9,1,8,0.8889,0.7778
1155299,146556,146557,33525,9,9,1,8,0.8889,0.7778
1164250,3234,21246,34469,9,9,1,8,0.8889,0.7778
1187590,227516,227517,35553,9,9,1,8,0.8889,0.7778
1219488,21186,21156,36130,9,9,1,8,0.8889,0.7778
1179303,1352,1384,36292,9,9,1,8,0.8889,0.7778
1205875,10725,10709,39333,9,9,1,8,0.8889,0.7778
1199222,12167,12169,40147,9,9,1,8,0.8889,0.7778
1220052,21755,85087,40972,9,9,1,8,0.8889,0.7778
1277226,79004,93724,47327,9,9,1,8,0.8889,0.7778
1298276,50216,50210,47687,9,9,1,8,0.8889,0.7778
1282517,19321,19334,48652,9,9,1,8,0.8889,0.7778
1303499,22294,22290,50372,9,9,1,8,0.8889,0.7778
1181363,283543,287362,3863,17,17,2,15,0.8824,0.7647
1156332,283543,287362,3863,17,17,2,15,0.8824,0.7647
1073716,1019,1018,4395,16,16,1,13,0.8125,0.75
1099390,13803,1018,4395,16,16,1,13,0.8125,0.75
1014037,1027,1018,4395,16,16,1,13,0.8125,0.75
1159913,21340,3392,12982,16,16,2,14,0.875,0.75
1149601,21340,3392,12982,16,16,2,14,0.875,0.75
1114527,365212,345275,1846,12,12,1,10,0.8333,0.75
1005593,1019,345275,1846,12,12,1,10,0.8333,0.75
1029839,278084,278085,7749,12,12,1,10,0.8333,0.75
1029873,278086,278085,7749,12,12,1,10,0.8333,0.75
1005526,351,347,438,8,8,1,7,0.875,0.75
1132965,12680,12656,493,8,8,1,7,0.875,0.75
1002522,56923,24178,970,8,8,1,7,0.875,0.75
