BADGE,RECOMMENDED_TRANSFORMER,CONSENSUS_TIER,IN_V1,IN_V1_HIGH_CONF,IN_V2,IN_V2_HIGH_CONF,RECOMMENDATION_TYPE,BADGE_ADDRESS,BADGE_CITY,BADGE_FEEDERID,CURRENT_TX_FEEDERID,RECOMMENDED_TX_FEEDERID,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,V1_CLUSTER_SIZE,V1_MAPPED_PEERS,V1_CONFIDENCE_GAP,V1_MAJORITY_SHARE,V1_PEER_STABILITY,V1_RECOMMENDATION_STABILITY,V2_CLUSTER_SIZE,V2_MAPPED_PEERS,V2_CONFIDENCE_GAP,V2_MAJORITY_SHARE,V2_PEER_STABILITY,V2_RECOMMENDATION_STABILITY
1299377,536734,both_high_confidence,True,True,True,True,new_assignment,1931 WOODBURN ST,COLO SPGS,12SP-35,,12SP-35,,14.3,6,4,1.0,1.0,1.0,1.0,6,4,1.0,1.0,1.0,1.0
1093870,18332,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"3820 PATRICK DR, HSEMTR",COLO SPGS,13KE-73,13KE-73,13KE-73,6.9,57.0,18,18,0.8889,0.9444,0.778,1.0,18,18,0.8889,0.9444,1.0,1.0
1080154,15893,both_high_confidence,True,True,True,True,same_feeder_ambiguous,4122 APOLLO VILLAGE CIR APT C,COLO SPGS,12PV-2,12PV-2,12PV-2,7.3,53.8,17,17,0.8824,0.9412,0.875,0.889,17,17,0.8824,0.9412,1.0,1.0
1116256,14342,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"1320 POTTER DR, HSE 3",COLO SPGS,13RI-11,13RI-11,13RI-11,9.0,11.2,17,17,0.8824,0.9412,0.722,1.0,17,17,0.8824,0.9412,1.0,1.0
1113152,14647,both_high_confidence,True,True,True,True,same_feeder_ambiguous,5102 GALLEY RD LOT 429AW,COLO SPGS,13PV-3,13PV-3,13PV-3,42.9,56.8,14,14,0.8571,0.9286,1.0,1.0,14,14,0.8571,0.9286,1.0,1.0
1233000,506645,both_high_confidence,True,True,True,True,new_assignment,6324 SEASONS BAY DR,COLO SPGS,13PR-4,,13PR-4,,30.9,8,7,0.8571,0.8571,0.857,0.778,8,7,0.8571,0.8571,1.0,1.0
1287801,370271,both_high_confidence,True,True,True,True,same_feeder_ambiguous,5392 SILVERSTONE TER,COLO SPGS,12WR-2,12WR-2,12WR-2,37.3,64.0,14,14,0.8571,0.9286,0.915,1.0,14,14,0.8571,0.9286,1.0,1.0
1007399,24882,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6565 PACKSADDLE CT,COLO SPGS,12CL-11,12CL-11,12CL-11,29.2,37.1,14,14,0.8571,0.9286,0.978,1.0,12,12,0.8333,0.9167,1.0,1.0
1000727,5576,both_high_confidence,True,True,True,True,same_feeder_ambiguous,10410 S STATE HIGHWAY 115 LOT 10,COLO SPGS,12JL-1,12JL-1,12JL-1,40.4,61.3,13,13,0.8462,0.9231,1.0,1.0,13,13,0.8462,0.9231,1.0,1.0
1008326,24718,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6560 RANGE OVERLOOK HTS,COLO SPGS,12ST-3,12ST-3,12ST-3,37.6,24.4,13,13,0.8462,0.9231,0.926,1.0,13,13,0.8462,0.9231,1.0,1.0
1035302,286724,both_high_confidence,True,True,True,True,same_feeder_ambiguous,7862 WAGONWOOD PL,COLO SPGS,,12FR-31,12FR-31,40.9,56.9,13,13,0.8462,0.9231,1.0,1.0,13,13,0.8462,0.9231,1.0,1.0
1043269,129268,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"4903 HAPPY MEADOWS TRL, SPKG",COLO SPGS,13BG-4,13BG-4,13BG-4,154.2,114.2,13,13,0.8462,0.9231,0.944,1.0,13,13,0.8462,0.9231,1.0,1.0
1075914,282235,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6161 SAN MATEO DR,COLO SPGS,12HZ-12,12HZ-12,12HZ-12,77.9,59.5,13,13,0.8462,0.9231,0.889,0.889,13,13,0.8462,0.9231,1.0,1.0
1076628,282241,both_high_confidence,True,True,True,True,same_feeder_ambiguous,6269 SAN MATEO DR,COLO SPGS,12HZ-12,12HZ-12,12HZ-12,69.9,96.6,13,13,0.8462,0.9231,0.991,1.0,13,13,0.8462,0.9231,1.0,1.0
1011710,375501,both_high_confidence,True,True,True,True,same_feeder_ambiguous,5935 LONGFORD WAY,COLO SPGS,12FR-32,12FR-32,12FR-32,62.7,60.0,12,12,0.8333,0.9167,0.879,1.0,14,14,0.8571,0.9286,0.897,1.0
1032627,345246,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"7207 BLACK SPRUCE HTS, SPKG",COLO SPGS,,12FR-31,12FR-31,23.1,50.5,12,12,0.8333,0.9167,0.778,0.889,13,13,0.8462,0.9231,1.0,1.0
1090506,1332,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"3101 CHAMBERS WAY, CHAPEL",COLO SPGS,13FV-1,13FV-1,13FV-1,150.5,122.0,12,12,0.8333,0.9167,1.0,1.0,12,12,0.8333,0.9167,1.0,1.0
1131849,20786,both_high_confidence,True,True,True,True,same_feeder_ambiguous,"3118 GALLEY RD, TELMTR",COLO SPGS,13RI-1,13RI-1,13RI-1,7.0,144.5,12,12,0.8333,0.9167,0.919,1.0,12,12,0.8333,0.9167,1.0,1.0
1145065,25784,both_high_confidence,True,True,True,True,same_feeder_ambiguous,5102 GALLEY RD LOT 211A,COLO SPGS,13PV-3,13PV-3,13PV-3,30.0,59.9,12,12,0.8333,0.9167,0.879,1.0,12,12,0.8333,0.9167,1.0,1.0
1186812,26118,both_high_confidence,True,True,True,True,same_feeder_ambiguous,1025 GARNER ST LOT 13D,COLO SPGS,12SP-34,12SP-34,12SP-34,17.3,28.9,12,12,0.8333,0.9167,0.929,1.0,12,12,0.8333,0.9167,1.0,1.0
1188497,3178,both_high_confidence,True,True,True,True,same_feeder_ambiguous,716 W BIJOU ST,COLO SPGS,12FT-4,12FT-4,12FT-4,40.8,53.9,12,12,0.8333,0.9167,0.99,1.0,12,12,0.8333,0.9167,1.0,1.0
1301788,22426,both_high_confidence,True,True,True,True,same_feeder_ambiguous,2004 SILKWOOD DR,COLO SPGS,13CW-3,13CW-3,13CW-3,63.8,46.9,12,12,0.8333,0.9167,0.909,1.0,12,12,0.8333,0.9167,1.0,1.0
1303966,22401,both_high_confidence,True,True,True,True,same_feeder_ambiguous,8025 LEXINGTON PARK DR,COLO SPGS,13CW-11,13CW-11,13CW-11,33.0,34.3,12,12,0.8333,0.9167,0.747,1.0,12,12,0.8333,0.9167,1.0,1.0
1207997,928,both_high_confidence,True,True,True,True,same_feeder_ambiguous,3821 PANORAMA RD,COLO SPGS,12C-2,12C-2,12C-2,24.0,190.6,12,12,0.8333,0.9167,0.838,1.0,11,11,0.8182,0.9091,1.0,1.0
1066886,376833,both_high_confidence,True,True,True,True,same_feeder_ambiguous,1845 SPRING WATER PT,COLO SPGS,12KC-33,12KC-33,12KC-33,27.9,18.3,11,11,0.8182,0.9091,0.822,0.889,12,12,0.8333,0.9167,1.0,1.0
1007408,24394,both_high_confidence,True,True,True,True,same_feeder_ambiguous,4630 DOUBLE LASSO CT,COLO SPGS,12ST-1,12ST-21,12ST-21,30.4,46.3,11,11,0.8182,0.9091,1.0,1.0,11,11,0.8182,0.9091,1.0,1.0
1011409,6551,both_high_confidence,True,True,True,True,cross_feeder_likely_gis_error,"8232 N POWERS BLVD, VMS SIGN",COLO SPGS,12BG-21,12BG-21,13BG-3,114.1,207.8,11,11,0.8182,0.9091,1.0,1.0,11,11,0.8182,0.9091,1.0,1.0
