BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER
1287650,10112.0,10159.0,50714
1287683,10112.0,10159.0,50714
1287684,10112.0,10159.0,50714
1289008,25119.0,25122.0,50715
1286685,25119.0,25122.0,50715
1266472,10169.0,24057.0,50726
1289041,10228.0,10169.0,50727
1285837,316157.0,19813.0,50728
1287616,314.0,19808.0,50734
1267570,314.0,19808.0,50734
1287615,314.0,19808.0,50734
1266595,314.0,19808.0,50734
1266574,11817.0,11783.0,50768
1285323,736.0,733.0,50775
1273403,736.0,733.0,50775
1271544,9015.0,8921.0,50803
1271496,24654.0,11503.0,50813
1304708,370388.0,84132.0,50826
1266772,2271.0,84132.0,50826
1307817,370388.0,84132.0,50826
1268325,8835.0,8882.0,50847
1266967,23975.0,23974.0,50851
1266968,23975.0,23974.0,50851
1266970,23975.0,23974.0,50851
1299801,23990.0,23974.0,50851
1266927,23990.0,23974.0,50851
1266928,23990.0,23974.0,50851
1272063,8499.0,8450.0,50881
1267048,8499.0,8450.0,50882
1270975,8499.0,8450.0,50882
1270977,8499.0,8450.0,50882
1270978,8499.0,8450.0,50882
1267123,8400.0,8273.0,50887
1267075,8400.0,8273.0,50887
1267076,8400.0,8273.0,50887
1269269,197115.0,8273.0,50887
1275712,224637.0,8273.0,50887
1277364,8346.0,8273.0,50887
1267086,8346.0,8273.0,50887
1272599,8735.0,8816.0,50909
1267147,23477.0,23460.0,50912
1267148,23477.0,23460.0,50912
1268602,23477.0,23460.0,50912
1267153,23477.0,23460.0,50912
1267154,23477.0,23460.0,50912
1269434,8103.0,8015.0,50915
1282220,4678.0,4680.0,50961
1280257,4678.0,4680.0,50961
1267420,875.0,850.0,50995
1270842,875.0,850.0,50995
1273131,12070.0,11944.0,51023
1267559,12070.0,11944.0,51023
1273133,12070.0,11944.0,51023
1273134,12070.0,11944.0,51023
1285856,8973.0,9097.0,51043
1275820,23306.0,23328.0,51044
1273175,23306.0,23328.0,51044
1267605,23306.0,23328.0,51044
1271729,23572.0,23542.0,51045
1271730,23572.0,23542.0,51045
1272605,23572.0,23542.0,51045
1271027,23572.0,23542.0,51045
1273558,25119.0,25122.0,51062
1267669,25122.0,25119.0,51064
1267670,25122.0,25119.0,51065
1267688,23946.0,9976.0,51069
1288675,1961.0,1804.0,51074
1267743,24055.0,10261.0,51081
1267784,11739.0,11721.0,51083
1267786,11739.0,11721.0,51083
1267829,11739.0,11721.0,51083
1267830,11739.0,11721.0,51083
1267787,8531.0,8590.0,51092
1268416,23020.0,8073.0,51109
1267877,23635.0,9272.0,51111
1271712,23635.0,9272.0,51111
1272100,23635.0,9272.0,51111
1272101,23635.0,9272.0,51111
1271925,23578.0,23586.0,51120
1275704,378668.0,23853.0,51126
1267984,78049.0,78047.0,51139
1268011,25122.0,25119.0,51146
1272027,9264.0,9247.0,51169
1272028,9264.0,9247.0,51169
1268111,23589.0,9247.0,51169
1271971,23589.0,9247.0,51169
1271675,158083.0,83804.0,51173
1271676,158083.0,83804.0,51173
1271677,158083.0,83804.0,51173
1271678,158083.0,83804.0,51173
1268119,158084.0,83804.0,51173
1268122,158084.0,83804.0,51173
1273312,11600.0,11562.0,51174
1269572,11705.0,11718.0,51178
1273214,12019.0,24869.0,51181
1268147,12019.0,24869.0,51181
1273211,12019.0,24869.0,51181
1268148,12019.0,11986.0,51182
1268159,8356.0,8362.0,51187
1268160,8356.0,8362.0,51187
1269995,11345.0,11433.0,51194
1269996,11345.0,11433.0,51194
1269997,11345.0,11433.0,51194
1269998,11345.0,11433.0,51194
1268625,11587.0,11596.0,51196
1268215,965.0,958.0,51200
1271069,965.0,958.0,51200
1269019,965.0,958.0,51200
1269020,965.0,958.0,51200
1269021,965.0,958.0,51200
1269022,965.0,958.0,51200
1268267,8610.0,8643.0,51204
1269301,397.0,389.0,51209
1269302,397.0,389.0,51209
1268243,397.0,389.0,51209
1268245,397.0,389.0,51209
1268253,8774.0,8692.0,51212
1268292,299516.0,11053.0,51223
1268515,8806.0,8727.0,51225
1269355,8945.0,8727.0,51225
1269356,8945.0,8727.0,51225
1269357,8945.0,8727.0,51225
1268326,8849.0,8829.0,51228
1287912,9753.0,9719.0,51254
1287914,9753.0,9719.0,51254
1289629,9753.0,9719.0,51254
1287281,10358.0,10292.0,51265
1268753,8727.0,8837.0,51286
1268583,407.0,404.0,51299
1268584,407.0,404.0,51299
1288556,11600.0,11587.0,51302
1268635,25119.0,25122.0,51304
1268675,23873.0,9858.0,51314
1272316,11371.0,11348.0,51316
1269552,9410.0,23655.0,51325
1273263,9410.0,23655.0,51325
1268729,23671.0,23655.0,51325
1268998,11433.0,11420.0,51383
1287859,9781.0,9767.0,51388
1287860,9781.0,9767.0,51388
1287839,9781.0,9767.0,51388
1287841,9781.0,9767.0,51388
1287842,9781.0,9767.0,51388
1271536,11866.0,11815.0,51390
1271134,23630.0,23617.0,51399
1270483,8165.0,23018.0,51404
1269299,8725.0,8696.0,51428
1269300,8725.0,8696.0,51428
1269340,390721.0,243520.0,51439
1270926,8499.0,8450.0,51458
1289200,11548.0,11270.0,51507
1289201,11548.0,11270.0,51508
1269847,23856.0,23879.0,51533
1269848,23856.0,23879.0,51533
1269849,23856.0,23879.0,51533
1275716,23856.0,23879.0,51533
1277636,1785.0,20265.0,51560
1270777,14612.0,14688.0,51579
1273069,25690.0,25668.0,51583
1271232,14870.0,14917.0,51587
1270187,10991.0,10968.0,51592
1276485,25552.0,20323.0,51598
1276486,13812.0,20323.0,51598
1276621,13795.0,20323.0,51598
1272236,25530.0,20323.0,51598
1272238,25530.0,20323.0,51598
1271263,14381.0,14323.0,51602
1271265,14281.0,14323.0,51602
1298819,8033.0,7993.0,51642
1298821,8033.0,7993.0,51642
1270359,8033.0,7993.0,51642
1305283,22946.0,7979.0,51643
1305284,22946.0,7979.0,51643
1305285,22946.0,7979.0,51643
1308258,8095.0,8120.0,51644
1307651,8095.0,8120.0,51644
1270374,14986.0,14962.0,51650
1310328,22301.0,6485.0,51665
1301463,6503.0,6485.0,51665
1279027,20505.0,20515.0,51716
1279028,20505.0,20515.0,51716
1280209,9057.0,9119.0,51722
1278206,9180.0,9119.0,51722
1274157,9982.0,9933.0,51732
1277471,9400.0,9365.0,51734
1277477,9265.0,9288.0,51738
1277479,9265.0,9288.0,51738
1277480,9265.0,9288.0,51738
1287779,9265.0,9288.0,51738
1278200,9119.0,23532.0,51754
1287784,9119.0,23532.0,51754
1276306,14917.0,14960.0,51760
