BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1132492,391359,391357,23525,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1124384,2431,2452,23773,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1183770,280966,24453,23820,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1112474,14625,25871,27389,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1119131,425115,429851,28729,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1123083,25391,13336,29485,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1127612,21407,21400,30819,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1286232,20421,20440,30845,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1154340,17363,17409,31030,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1299023,7285,7306,31318,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1283075,7359,7373,31331,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1282871,153292,2112,31726,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1303867,6910,6890,32897,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1136190,8501,8681,33451,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1298458,21703,4923,33840,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1152942,19438,27362,36585,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1156715,84768,20436,37598,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1221052,12580,12578,39877,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1175221,24784,24745,40738,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1183710,26015,2943,42304,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1207682,12416,12485,44249,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1210400,13487,25423,46483,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1223022,11180,11192,46725,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1287212,4636,4618,47218,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1219898,18564,18543,48087,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1227480,23228,23262,49392,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1285887,9398,9369,50650,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1267984,78049,78047,51139,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1301538,6101,6173,52048,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1299413,4597,4572,52950,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1297867,7642,22847,55543,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1303636,92774,92773,56796,8,8,1,7,0.875,0.75,1.0,7,5,5,1.0
1014037,1027,1018,4704,14,14,1,11,0.7857,0.7143,1.0,13,5,5,1.0
