BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1005587,11328,11397,1956,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,4260 HICKORY HOLLOW DR,COLO SPGS,38.891173690000002,-104.700525589999998,12ST-3,-104.700525589999998,38.891173690000002,38.891123,-104.700539,5.8,False,PD16488,12ST-3,UG Transformer Bank,RGC-34,38.891585820000003,-104.700319660000005,50.000000000000000,PD16487,12ST-3,UG Transformer Bank,RGC-33,38.890886010000003,-104.700247189999999,25.000000000000000,49.2,40.0,same_feeder_ambiguous
1048290,74203,65251,4240,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,6652 CONIFER RIDGE DR,COLO SPGS,38.923043079999999,-104.700310130000005,12ST-1,-104.700310130000005,38.923043079999999,38.92382,-104.699908,93.1,False,,,,,,,,,,,,,,,,,unknown_feeder
1018997,22934,22944,5409,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,6826 BECKNELL DR,COLO SPGS,38.929887970000003,-104.736032249999994,12BG-24,-104.736032249999994,38.929887970000003,38.929918,-104.736016,3.6,False,PD13456,12BG-24,UG Transformer Bank,RWT-112,38.930397939999999,-104.736416230000003,25.000000000000000,PD13614,12BG-24,UG Transformer Bank,RWT-85,38.929845460000003,-104.735494919999994,25.000000000000000,65.7,46.7,same_feeder_ambiguous
1024053,23997,23979,6804,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,"5100 LEWISIA PT, LIGHTS",COLO SPGS,38.906078020000002,-104.735880980000005,12AP-4,-104.735880980000005,38.906078020000002,38.906079,-104.735793,7.6,False,PD5074,12AP-4,UG Transformer Bank,ROF-117,38.905906659999999,-104.735758640000000,25.000000000000000,PD5075,12AP-4,UG Transformer Bank,ROF-116,38.906121759999998,-104.736150370000004,25.000000000000000,21.8,23.8,same_feeder_ambiguous
1093664,17809,17835,6831,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,"2850 SWALE RUN, MOBILE",COLO SPGS,38.791066579999999,-104.731928679999996,13KE-64,-104.731928679999996,38.791066579999999,38.791095,-104.73201,7.7,False,PD5739,13KE-64,UG Transformer Bank,RMPS-71,38.791344700000003,-104.731511459999993,25.000000000000000,PD5740,13KE-64,UG Transformer Bank,RMPS-72,38.790890339999997,-104.731907820000004,25.000000000000000,47.6,19.7,same_feeder_ambiguous
1037994,6431,6381,8907,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,8326 SCARBOROUGH DR,COLO SPGS,38.952645590000003,-104.732630580000006,13BG-3,-104.732630580000006,38.952645590000003,38.952662,-104.732616,2.2,False,PD1497,13BG-3,UG Transformer Bank,RF-40,38.952353969999997,-104.732322019999998,25.000000000000000,PD1476,13BG-3,UG Transformer Bank,RF-41,38.953011029999999,-104.732560539999994,25.000000000000000,42.0,41.1,same_feeder_ambiguous
1034362,159048,159049,9520,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,5830 LEON YOUNG DR,COLO SPGS,38.967498960000000,-104.723310380000001,12BG-23,-104.723310380000001,38.967498960000000,38.967546,-104.723354,6.4,False,,,,,,,,,,,,,,,,,unknown_feeder
1039816,23622,23608,10732,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,5832 HUERFANO DR,COLO SPGS,38.915484960000001,-104.707266500000003,12ST-21,-104.707266500000003,38.915484960000001,38.915486,-104.707122,12.5,False,PD13109,12ST-21,UG Transformer Bank,RRV-49,38.915445400000003,-104.707403159999998,50.000000000000000,PD12274,12ST-21,UG Transformer Bank,RRV-70,38.915868310000000,-104.706669419999997,25.000000000000000,12.6,67.0,same_feeder_ambiguous
1044203,343808,343807,11843,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,5835 THURBER DR,COLO SPGS,38.967787979999997,-104.723751899999996,12BG-23,-104.723751899999996,38.967787979999997,38.967787,-104.723751,0.1,False,,,,,,,,,,,,,,,,,unknown_feeder
1045563,8972,8941,12096,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,6167 MIRAMONT ST,COLO SPGS,38.919793239999997,-104.711944340000002,12BG-24,-104.711944340000002,38.919793239999997,38.91982,-104.711949,3.0,False,PD13487,12BG-24,UG Transformer Bank,RRV-120,38.919291889999997,-104.712243580000006,50.000000000000000,PD13486,12BG-24,UG Transformer Bank,RRV-121,38.919718730000000,-104.712608619999997,50.000000000000000,61.5,58.1,same_feeder_ambiguous
1053440,345244,345245,12564,9,9,1,8,0.8889,0.7778,1.0,8,5,5,1.0,6796 BACKCOUNTRY LOOP,COLO SPGS,38.928337780000000,-104.655430679999995,12FR-32,-104.655430679999995,38.928337780000000,38.928337,-104.65543,0.1,False,,,,,,,,,,,,,,,,,unknown_feeder
