BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1024210,10859,24430,6431,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1029825,6961,6960,7100,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1081570,13887,13880,7353,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1063504,370574,370573,7411,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1042033,22799,7498,7705,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1041818,7773,7723,8245,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1040772,22516,6911,8563,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1033024,22498,6859,8595,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1034520,7732,7713,8599,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1035593,376893,376892,9159,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1036052,77723,77724,9249,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1038244,375004,375005,9456,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1037027,226242,256640,9465,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1053650,22561,22550,9603,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1038005,6552,6510,9658,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1042231,118715,118714,10497,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1041985,375407,370511,10547,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1042059,375410,375406,10550,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1048010,40608,40606,10760,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1058465,350255,350254,11181,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1060281,192316,323837,11728,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1082229,14063,14027,11972,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1186871,47004,75492,13465,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1155450,18933,18959,13662,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1061126,293758,344470,14076,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1068352,280958,280957,14711,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1123127,20017,12867,14781,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1068133,5762,5763,14881,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1121062,19426,21806,15376,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1069859,19297,19282,15530,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1222120,4728,21656,15957,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1079881,26321,26325,16046,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1076678,284157,284155,17607,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1077951,129905,129908,17883,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1099551,26361,26356,18054,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1079832,26327,26329,18276,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1157398,2178,20439,19224,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1083679,14353,14325,19376,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1084101,13537,13541,19506,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1088709,14708,14733,19796,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1220516,17999,17992,20250,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1220508,26970,17999,20253,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1092652,18357,18320,20502,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1091348,13566,13550,20606,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1186343,19553,19558,20983,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1092617,26866,17780,21051,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1110144,14092,14057,21686,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1137506,11928,11940,21858,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1118612,396082,396084,21995,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1099261,71649,71653,22485,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1112860,19284,19325,25028,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1142805,14125,25615,25512,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1121489,535612,1044,26237,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1171159,1074,1087,26361,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1122344,25105,25096,26464,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1205608,1420,1418,27196,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1125885,1854,1835,27335,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1305079,22092,5965,27730,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1127791,396123,1925,28031,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1286627,22622,22618,28255,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1270836,9255,104285,28312,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1229664,11157,11197,28525,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1143839,25824,25865,28714,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1282001,16936,16952,29357,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1133502,6037,22138,29675,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1199291,9863,9818,30177,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1137838,27365,27366,30874,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1306808,4561,21606,30886,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
1146908,2611,20782,32162,7,7,1,6,0.8571,0.7143,1.0,6,9,9,1.0
