BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,BADGE_ADDRESS,BADGE_CITY,GIS_BADGE_LAT,GIS_BADGE_LON,BADGE_FEEDERID,BADGE_POINT_X,BADGE_POINT_Y,MODEL_BADGE_LAT,MODEL_BADGE_LON,MODEL_VS_GIS_LATLON_DISTANCE_M,LATLON_DISCREPANCY,CURRENT_TX_STRUCTNO,CURRENT_TX_FEEDERID,CURRENT_TX_SUBTYPE,CURRENT_TX_VAULTCD,CURRENT_TX_LAT,CURRENT_TX_LON,CURRENT_TX_KVA,RECOMMENDED_TX_STRUCTNO,RECOMMENDED_TX_FEEDERID,RECOMMENDED_TX_SUBTYPE,RECOMMENDED_TX_VAULTCD,RECOMMENDED_TX_LAT,RECOMMENDED_TX_LON,RECOMMENDED_TX_KVA,DISTANCE_BADGE_TO_CURRENT_M,DISTANCE_BADGE_TO_RECOMMENDED_M,RECOMMENDATION_TYPE
1071504,5230,19204,16707,"1730 MAIN ST, CV",COLO SPGS,38.766000939999998,-104.739431719999999,13KE-71,-104.739431719999999,38.766000939999998,38.766081,-104.739408,9.1,False,OH21156,13KE-71,OH Transformer Bank,,38.765954160000000,-104.739667380000000,25.000000000000000,PD7092,13KE-71,UG Transformer Bank,REGV-8,38.767161860000002,-104.738414640000002,25.000000000000000,21.1,156.3,same_feeder_ambiguous
1072452,5216,19204,16707,"930 LETA DR, TRF SG",COLO SPGS,38.766419810000002,-104.739433399999996,13KE-71,-104.739433399999996,38.766419810000002,38.767173,-104.740101,101.8,True,OH22186,13KE-71,OH Transformer Bank,,38.766940290000001,-104.738681170000007,75.000000000000000,PD7092,13KE-71,UG Transformer Bank,REGV-8,38.767161860000002,-104.738414640000002,25.000000000000000,87.2,120.9,same_feeder_ambiguous
1069265,19220,19204,16707,4885 ELM GROVE DR,COLO SPGS,38.766802069999997,-104.737295399999994,13KE-71,-104.737295399999994,38.766802069999997,38.766859,-104.737302,6.4,False,PD7094,13KE-71,UG Transformer Bank,REGV-3,38.766922719999997,-104.737421100000006,25.000000000000000,PD7092,13KE-71,UG Transformer Bank,REGV-8,38.767161860000002,-104.738414640000002,25.000000000000000,17.3,105.0,same_feeder_ambiguous
1069266,19220,19204,16707,4875 ELM GROVE DR,COLO SPGS,38.766790059999998,-104.737493810000004,13KE-71,-104.737493810000004,38.766790059999998,38.766855,-104.737498,7.2,False,PD7094,13KE-71,UG Transformer Bank,REGV-3,38.766922719999997,-104.737421100000006,25.000000000000000,PD7092,13KE-71,UG Transformer Bank,REGV-8,38.767161860000002,-104.738414640000002,25.000000000000000,16.0,89.9,same_feeder_ambiguous
1069267,19220,19204,16707,4895 ELM GROVE DR,COLO SPGS,38.766820129999999,-104.737180379999998,13KE-71,-104.737180379999998,38.766820129999999,38.766878,-104.737177,6.4,False,PD7094,13KE-71,UG Transformer Bank,REGV-3,38.766922719999997,-104.737421100000006,25.000000000000000,PD7092,13KE-71,UG Transformer Bank,REGV-8,38.767161860000002,-104.738414640000002,25.000000000000000,23.8,113.6,same_feeder_ambiguous
1069268,19220,19204,16707,4865 ELM GROVE DR,COLO SPGS,38.766779100000001,-104.737630960000004,13KE-71,-104.737630960000004,38.766779100000001,38.766836,-104.73763,6.3,False,PD7094,13KE-71,UG Transformer Bank,REGV-3,38.766922719999997,-104.737421100000006,25.000000000000000,PD7092,13KE-71,UG Transformer Bank,REGV-8,38.767161860000002,-104.738414640000002,25.000000000000000,24.2,80.2,same_feeder_ambiguous
1080217,19183,19204,16707,5010 ELM GROVE DR,COLO SPGS,38.767221120000002,-104.737830990000006,13KE-71,-104.737830990000006,38.767221120000002,38.767256,-104.737835,3.9,False,PD7097,13KE-71,UG Transformer Bank,REGV-6,38.767403240000000,-104.737886119999999,25.000000000000000,PD7092,13KE-71,UG Transformer Bank,REGV-8,38.767161860000002,-104.738414640000002,25.000000000000000,20.8,51.0,same_feeder_ambiguous
1070185,19111,19110,16712,4160 SHELBE CT,COLO SPGS,38.768993690000002,-104.750653560000003,13KE-73,-104.750653560000003,38.768993690000002,38.768956,-104.750673,4.5,False,PD15626,13KE-73,UG Transformer Bank,RBRA-76,38.768588250000001,-104.750238949999996,25.000000000000000,PD15025,13KE-73,UG Transformer Bank,RBRA-77,38.768602690000002,-104.750935350000006,50.000000000000000,57.7,49.9,same_feeder_ambiguous
1069314,19183,19170,16715,5050 ELM GROVE DR,COLO SPGS,38.767487140000000,-104.738240230000002,13KE-71,-104.738240230000002,38.767487140000000,38.767524,-104.738214,4.7,False,PD7097,13KE-71,UG Transformer Bank,REGV-6,38.767403240000000,-104.737886119999999,25.000000000000000,PD7098,13KE-71,UG Transformer Bank,REGV-7,38.767625870000003,-104.738199359999996,25.000000000000000,32.1,15.8,same_feeder_ambiguous
1069302,19183,19170,16715,5060 ELM GROVE DR,COLO SPGS,38.767536000000000,-104.738344720000001,13KE-71,-104.738344720000001,38.767536000000000,38.767588,-104.738302,6.9,False,PD7097,13KE-71,UG Transformer Bank,REGV-6,38.767403240000000,-104.737886119999999,25.000000000000000,PD7098,13KE-71,UG Transformer Bank,REGV-7,38.767625870000003,-104.738199359999996,25.000000000000000,42.4,16.1,same_feeder_ambiguous
