BADGE,PEER_STABILITY,PEERS_CONSIDERED,N_RUNS_SEEN
1302640,0.908,8,9
1039876,0.825,8,9
1095463,0.908,8,9
1138729,0.908,8,9
1039886,,0,9
1039888,0.867,5,9
1039889,0.8,5,9
1039890,0.778,5,9
1039892,0.867,5,9
1065173,0.867,5,9
1039887,0.844,5,9
1002616,,0,9
1039895,,0,9
1039899,0.667,4,9
1039900,0.611,4,9
1039901,0.667,4,9
1039903,0.444,4,9
1039905,0.167,4,9
1039902,,0,9
1039920,0.938,9,9
1039922,0.938,9,9
1135603,0.938,9,9
1039904,0.938,9,9
1045896,0.654,9,9
1039906,0.753,9,9
1039909,0.938,9,9
1039910,0.938,9,9
1040942,0.938,9,9
1039919,0.938,9,9
1039916,,0,9
1039921,0.444,12,9
1104761,0.583,12,9
1261219,0.25,12,9
1102731,0.574,12,9
1102732,0.602,12,9
1102730,0.574,12,9
1105836,0.583,12,9
1105837,0.25,12,9
1191308,0.25,12,9
1262447,0.25,12,9
1261931,0.602,12,9
1102790,0.602,12,9
1135779,0.602,12,9
1039924,1.0,4,9
1039925,1.0,4,9
1039926,1.0,4,9
1039927,1.0,4,9
1039928,1.0,4,9
1286366,1.0,7,9
1272051,1.0,7,9
1286431,1.0,7,9
1039930,1.0,7,9
1286434,1.0,7,9
1286379,1.0,7,9
1286380,1.0,7,9
1301813,1.0,7,9
1039931,1.0,9,9
1039932,1.0,9,9
1039933,1.0,9,9
1039934,1.0,9,9
1045879,1.0,9,9
1065157,1.0,9,9
1039944,1.0,9,9
1039945,1.0,9,9
1039946,1.0,9,9
1039948,1.0,9,9
1046922,1.0,6,9
1039935,1.0,6,9
1045880,1.0,6,9
1039938,1.0,6,9
1065159,1.0,6,9
1046891,1.0,6,9
1046892,1.0,6,9
1002624,,0,9
1056583,0.933,5,9
1039936,0.933,5,9
1039937,0.667,5,9
1039939,0.933,5,9
1039941,0.933,5,9
1039942,0.933,5,9
1039940,,0,9
1039943,,0,9
1039952,0.444,7,9
1041014,0.921,7,9
1039954,0.921,7,9
1039956,0.921,7,9
1065091,0.921,7,9
1041007,0.921,7,9
1039947,0.921,7,9
1039951,0.921,7,9
1039953,0.981,6,9
1046903,0.981,6,9
1041163,0.981,6,9
1041001,0.981,6,9
1039949,0.889,6,9
1041012,0.981,6,9
1041013,0.981,6,9
1039950,,0,9
1041887,0.889,6,9
1041888,0.889,6,9
1039955,0.889,6,9
1039957,0.889,6,9
1039962,0.556,6,9
1039963,0.833,6,9
1039965,0.833,6,9
1039966,,0,9
1044746,1.0,5,9
1039968,1.0,5,9
1045024,1.0,5,9
1045025,1.0,5,9
1045026,1.0,5,9
1044996,1.0,5,9
1039971,1.0,1,9
1048970,1.0,1,9
1002625,0.931,8,9
1025098,0.931,8,9
1025974,0.931,8,9
1025099,0.931,8,9
1025101,0.861,8,9
1025956,0.861,8,9
1025957,0.667,8,9
1026316,0.931,8,9
1025960,0.931,8,9
1039974,,0,9
1039991,0.905,7,9
1039992,0.905,7,9
1039993,0.968,7,9
1039994,0.968,7,9
1039975,0.968,7,9
1039976,0.968,7,9
1039978,0.968,7,9
1039979,0.968,7,9
1039977,,0,9
1039982,,0,9
1039983,,0,9
1039986,1.0,7,9
1147582,1.0,7,9
1147584,1.0,7,9
1128521,1.0,7,9
1128594,1.0,7,9
1145144,1.0,7,9
1145142,1.0,7,9
1097566,1.0,7,9
1039989,,0,9
1039990,,0,9
1039995,,0,9
1066263,0.981,6,9
1138708,0.981,6,9
1138709,0.981,6,9
1281111,0.981,6,9
1044749,0.981,6,9
1039996,0.889,6,9
1203216,0.981,6,9
1002626,1.0,7,9
1002662,1.0,7,9
1048554,1.0,7,9
1024686,1.0,7,9
1024687,1.0,7,9
1006977,1.0,7,9
1024689,1.0,7,9
1008048,1.0,7,9
1040000,,0,9
1040008,,0,9
1040010,,0,9
1048711,1.0,6,9
1041863,1.0,6,9
1041864,1.0,6,9
1044757,1.0,6,9
1040045,1.0,6,9
1040046,1.0,6,9
1040015,1.0,6,9
1040016,1.0,5,9
1040017,1.0,5,9
1040022,1.0,5,9
1041830,1.0,5,9
1041866,1.0,5,9
1041869,1.0,5,9
1040018,,0,9
1040026,,0,9
1040027,,0,9
1040032,,0,9
1048901,0.847,8,9
1048902,0.847,8,9
1040051,0.764,8,9
1040052,0.847,8,9
1040053,0.847,8,9
1040054,0.778,8,9
1040057,0.556,8,9
1041225,0.472,8,9
1040033,0.847,8,9
1002627,,0,9
1040048,1.0,4,9
1040049,1.0,4,9
1040050,1.0,4,9
1041224,1.0,4,9
1040047,1.0,4,9
1262388,1.0,5,9
1040055,1.0,5,9
1040056,1.0,5,9
1041223,1.0,5,9
1041226,1.0,5,9
1136215,1.0,5,9
1040092,0.444,7,9
1040093,0.81,7,9
1040064,0.444,7,9
1040066,0.81,7,9
1040067,0.683,7,9
1040068,0.81,7,9
1040069,0.81,7,9
1040070,0.81,7,9
1040074,0.444,2,9
1040071,0.667,2,9
1040072,0.667,2,9
1040073,,0,9
1040086,0.683,7,9
1040099,0.857,7,9
1040100,0.778,7,9
1040102,0.619,7,9
1040075,0.857,7,9
1040076,0.857,7,9
1040077,0.857,7,9
1040112,0.619,7,9
1040078,,0,9
1040081,1.0,4,9
1040082,1.0,4,9
1040084,1.0,4,9
1040105,1.0,4,9
1040079,1.0,4,9
1040087,0.815,9,9
1040088,0.815,9,9
1040089,0.654,9,9
1040090,0.815,9,9
1040191,0.63,9,9
1040192,0.432,9,9
1040225,0.815,9,9
1040194,0.815,9,9
1040193,0.815,9,9
1040080,0.556,9,9
1040083,,0,9
1002628,0.556,7,9
1002629,0.921,7,9
1002630,0.921,7,9
1002631,0.921,7,9
1015284,0.841,7,9
1015287,0.921,7,9
1046202,0.921,7,9
1009277,0.921,7,9
1040085,,0,9
1040091,,0,9
1040094,,0,9
1040101,,0,9
1040104,,0,9
1040106,,0,9
1040113,0.915,13,9
1040115,0.915,13,9
1040116,0.915,13,9
1040117,0.915,13,9
1040118,0.915,13,9
1040119,0.915,13,9
1040123,0.786,13,9
1040124,0.88,13,9
1040125,0.88,13,9
1040126,0.88,13,9
1040128,0.513,13,9
1040129,0.915,13,9
1040130,0.88,13,9
1040111,0.915,13,9
1040120,0.889,7,9
1040121,0.889,7,9
1040122,0.889,7,9
1040895,0.444,7,9
1040897,0.73,7,9
1040898,0.889,7,9
1040152,0.889,7,9
1040911,0.889,7,9
1040127,,0,9
1040918,0.825,14,9
1040919,0.675,14,9
1040920,0.825,14,9
1040151,0.54,14,9
1040153,0.532,14,9
1040899,0.77,14,9
1040900,0.516,14,9
1040901,0.754,14,9
1040902,0.825,14,9
1040131,0.825,14,9
1040132,0.444,14,9
1040133,0.825,14,9
1040915,0.825,14,9
1040916,0.825,14,9
1040917,0.77,14,9
1024832,1.0,5,9
1024833,1.0,5,9
1002632,1.0,5,9
1024815,1.0,5,9
1024817,1.0,5,9
1024830,1.0,5,9
1040134,,0,9
1040135,,0,9
1040145,0.769,12,9
1040146,0.769,12,9
1040887,0.769,12,9
1040923,0.769,12,9
1040924,0.639,12,9
1040925,0.556,12,9
1040871,0.444,12,9
1040872,0.556,12,9
1040873,0.444,12,9
1040874,0.769,12,9
1040136,0.769,12,9
1040143,0.769,12,9
1040885,0.444,12,9
1040147,0.806,4,9
1040149,0.806,4,9
1040150,0.806,4,9
1040137,0.639,4,9
1040138,0.556,4,9
1040888,0.778,8,9
1040215,0.667,8,9
1040217,0.778,8,9
1040220,0.5,8,9
1040221,0.569,8,9
1040222,0.778,8,9
1040139,0.708,8,9
1040140,0.778,8,9
1040141,0.528,8,9
1040142,,0,9
1041695,0.833,8,9
1041696,0.833,8,9
1041697,0.444,8,9
1041698,0.833,8,9
1040155,0.833,8,9
1040156,0.833,8,9
1040157,0.625,8,9
1040158,0.833,8,9
1040144,0.542,8,9
1040148,0.444,5,9
1040219,0.889,5,9
1040203,0.889,5,9
1040204,0.889,5,9
1040205,0.889,5,9
1040206,0.889,5,9
1040154,,0,9
1040162,1.0,2,9
1040173,1.0,2,9
