BADGE,CURRENT_TRANSFORMER_OLD,RECOMMENDED_TRANSFORMER_OLD,CLUSTER_OLD,CURRENT_TRANSFORMER_NEW,RECOMMENDED_TRANSFORMER_NEW,CLUSTER_NEW,STATUS
1001538,296.0,285.0,25.0,296.0,285.0,24.0,unchanged
1001551,296.0,285.0,25.0,296.0,285.0,24.0,unchanged
1001556,94692.0,285.0,25.0,94692.0,285.0,24.0,unchanged
1001562,221.0,19785.0,396.0,,,,no_longer_flagged
1001572,221.0,19785.0,396.0,,,,no_longer_flagged
1001576,,,,399.0,19827.0,274.0,newly_flagged
1001578,9403.0,19852.0,575.0,9403.0,19852.0,526.0,unchanged
1001580,,,,399.0,19827.0,274.0,newly_flagged
1001582,399.0,390.0,578.0,399.0,390.0,528.0,unchanged
1001583,,,,399.0,19827.0,274.0,newly_flagged
1001591,,,,19785.0,221.0,370.0,newly_flagged
1001592,221.0,19785.0,396.0,,,,no_longer_flagged
1001623,19825.0,375.0,551.0,19825.0,375.0,506.0,unchanged
1001632,19799.0,282.0,417.0,19799.0,282.0,388.0,unchanged
1001635,19801.0,282.0,417.0,19801.0,282.0,388.0,unchanged
1001659,19798.0,264.0,434.0,19798.0,264.0,401.0,unchanged
1001662,,,,19799.0,282.0,388.0,newly_flagged
1001664,699.0,697.0,610.0,699.0,697.0,553.0,unchanged
1001666,365405.0,365403.0,612.0,365405.0,365412.0,555.0,recommendation_changed
1001688,327.0,322.0,568.0,327.0,322.0,522.0,unchanged
1001692,341.0,323.0,607.0,341.0,323.0,552.0,unchanged
1001727,,,,19785.0,221.0,370.0,newly_flagged
1001748,227.0,212.0,657.0,227.0,212.0,592.0,unchanged
1001764,7721.0,274.0,665.0,7721.0,274.0,600.0,unchanged
1001770,,,,7771.0,285.0,24.0,newly_flagged
1001780,230.0,255.0,477.0,230.0,255.0,442.0,unchanged
1001786,19782.0,227.0,650.0,19782.0,227.0,587.0,unchanged
1001789,19831.0,405.0,672.0,19831.0,405.0,605.0,unchanged
1001794,157.0,185.0,570.0,157.0,185.0,524.0,unchanged
1001797,209597.0,209598.0,675.0,209597.0,209599.0,608.0,recommendation_changed
1001808,87331.0,727.0,679.0,87331.0,727.0,612.0,unchanged
1001815,428.0,362.0,684.0,428.0,362.0,616.0,unchanged
1001824,309.0,299.0,531.0,309.0,299.0,486.0,unchanged
1001827,,,,316.0,299.0,486.0,newly_flagged
1001829,158717.0,158731.0,693.0,,,,no_longer_flagged
1001847,,,,316.0,299.0,486.0,newly_flagged
1001866,,,,84773.0,378.0,618.0,newly_flagged
1001868,,,,238717.0,19827.0,274.0,newly_flagged
1001881,84773.0,385.0,584.0,84773.0,385.0,533.0,unchanged
1001888,274.0,268.0,664.0,274.0,268.0,599.0,unchanged
1001891,268.0,238.0,723.0,268.0,238.0,648.0,unchanged
1001900,,,,375329.0,375330.0,650.0,newly_flagged
1001902,,,,375329.0,375330.0,650.0,newly_flagged
1001903,,,,375329.0,375330.0,650.0,newly_flagged
1001918,552.0,30685.0,512.0,552.0,30685.0,468.0,unchanged
1001919,426.0,19838.0,209.0,426.0,19838.0,200.0,unchanged
1001928,446.0,438.0,479.0,446.0,438.0,444.0,unchanged
1001938,157.0,205.0,390.0,157.0,205.0,365.0,unchanged
1001945,294.0,280.0,697.0,294.0,280.0,627.0,unchanged
1001971,19709.0,19704.0,225.0,,,,no_longer_flagged
1001983,,,,453918.0,453917.0,698.0,newly_flagged
1001986,,,,,383756.0,700.0,newly_flagged
1001987,449260.0,85736.0,211.0,449260.0,85736.0,202.0,unchanged
1001991,19820.0,356.0,472.0,19820.0,356.0,437.0,unchanged
1001994,327.0,342.0,566.0,327.0,342.0,520.0,unchanged
1001998,320.0,323.0,412.0,320.0,323.0,383.0,unchanged
1002058,,,,209598.0,209599.0,608.0,newly_flagged
1002068,402.0,399.0,122.0,,,,no_longer_flagged
1002070,402.0,399.0,573.0,402.0,19827.0,274.0,recommendation_changed
1002078,489.0,490.0,815.0,489.0,490.0,462.0,unchanged
1002079,,,,489.0,264637.0,733.0,newly_flagged
1002092,9403.0,454.0,823.0,9403.0,454.0,739.0,unchanged
1002096,564.0,30685.0,512.0,564.0,30685.0,468.0,unchanged
1002098,209600.0,209599.0,810.0,209600.0,209599.0,608.0,unchanged
1002102,,,,238717.0,19827.0,274.0,newly_flagged
1002113,30686.0,30685.0,512.0,30686.0,30685.0,468.0,unchanged
1002115,30687.0,30685.0,512.0,30687.0,30685.0,468.0,unchanged
1002121,30688.0,30685.0,512.0,30688.0,30685.0,468.0,unchanged
1002122,30688.0,30685.0,512.0,30688.0,30685.0,468.0,unchanged
1002137,209600.0,209599.0,810.0,209600.0,209599.0,608.0,unchanged
1002154,19861.0,484.0,363.0,19861.0,491.0,339.0,recommendation_changed
1002164,432.0,427.0,864.0,432.0,427.0,774.0,unchanged
1002167,,,,19794.0,282.0,388.0,newly_flagged
1002168,30695.0,30685.0,512.0,30695.0,30685.0,468.0,unchanged
1002170,30693.0,30685.0,512.0,30693.0,30685.0,468.0,unchanged
1002171,30695.0,30685.0,512.0,30695.0,30685.0,468.0,unchanged
1002191,564.0,30685.0,512.0,564.0,30685.0,468.0,unchanged
1002198,255.0,232.0,475.0,255.0,232.0,440.0,unchanged
1002261,564.0,30685.0,512.0,564.0,30685.0,468.0,unchanged
1002278,368.0,360.0,324.0,368.0,360.0,301.0,unchanged
1002282,53724.0,10912.0,924.0,53724.0,10912.0,824.0,unchanged
1002284,,,,641.0,614.0,826.0,newly_flagged
1002304,648.0,641.0,926.0,648.0,614.0,826.0,recommendation_changed
1002332,,,,658.0,645.0,348.0,newly_flagged
1002371,305.0,299.0,531.0,305.0,299.0,486.0,unchanged
1002389,,,,375329.0,375330.0,650.0,newly_flagged
1002407,,,,13150.0,13149.0,808.0,newly_flagged
1002451,343741.0,343740.0,1026.0,343741.0,343740.0,922.0,unchanged
1002454,31004.0,30685.0,512.0,31004.0,30685.0,468.0,unchanged
1002455,30697.0,30685.0,512.0,30697.0,30685.0,468.0,unchanged
1002507,24383.0,10783.0,1052.0,24383.0,10783.0,946.0,unchanged
1002522,56923.0,24178.0,1057.0,56923.0,24178.0,951.0,unchanged
1002533,11542.0,11499.0,1061.0,11542.0,11499.0,955.0,unchanged
1002534,11542.0,11499.0,1061.0,11542.0,11499.0,955.0,unchanged
1002536,111980.0,111985.0,1062.0,111980.0,111985.0,956.0,unchanged
1002538,111980.0,111985.0,1062.0,111980.0,111985.0,956.0,unchanged
1002539,111980.0,111985.0,1062.0,111980.0,111985.0,956.0,unchanged
1002578,19834.0,418.0,486.0,19834.0,418.0,449.0,unchanged
1002584,,,,375329.0,375330.0,650.0,newly_flagged
1002598,497035.0,535853.0,1092.0,497035.0,535853.0,985.0,unchanged
1002612,24265.0,10453.0,1074.0,24265.0,10453.0,968.0,unchanged
1002642,3102.0,3101.0,1115.0,3102.0,3101.0,1007.0,unchanged
1002644,24950.0,24922.0,1117.0,24950.0,24922.0,1009.0,unchanged
1002666,19835.0,418.0,371.0,19835.0,418.0,347.0,unchanged
1002677,20780.0,20760.0,1141.0,20780.0,20760.0,1031.0,unchanged
1002678,17682.0,17646.0,1142.0,17682.0,17646.0,1032.0,unchanged
1002683,25593.0,25590.0,1146.0,,,,no_longer_flagged
1002932,10486.0,10430.0,1210.0,10486.0,10430.0,1101.0,unchanged
1002933,56312.0,32607.0,1211.0,56312.0,32607.0,1102.0,unchanged
1003542,11956.0,11954.0,1221.0,11956.0,11954.0,1112.0,unchanged
1003577,19694.0,19698.0,1243.0,19694.0,19698.0,1133.0,unchanged
1003579,19712.0,133420.0,775.0,19712.0,133420.0,699.0,unchanged
1003583,19694.0,19704.0,225.0,19694.0,19704.0,1135.0,unchanged
1003603,19687.0,19691.0,179.0,19687.0,19691.0,173.0,unchanged
1003609,19710.0,19711.0,1259.0,19710.0,19711.0,1149.0,unchanged
1003612,19695.0,19685.0,1251.0,19695.0,19685.0,1141.0,unchanged
1003615,19685.0,19682.0,1261.0,19685.0,19682.0,1151.0,unchanged
1003621,,,,19712.0,133420.0,699.0,newly_flagged
1003622,11542.0,11499.0,1061.0,11542.0,11499.0,955.0,unchanged
1003623,,,,5505.0,133420.0,699.0,newly_flagged
1003631,,,,343543.0,133420.0,699.0,newly_flagged
1003634,,,,19695.0,19697.0,1153.0,newly_flagged
1003639,19696.0,19690.0,158.0,19696.0,19690.0,152.0,unchanged
1003642,5507.0,5509.0,166.0,5507.0,5509.0,160.0,unchanged
1003644,19702.0,19707.0,763.0,19702.0,19707.0,686.0,unchanged
1003645,19702.0,19707.0,763.0,19702.0,19707.0,686.0,unchanged
1003659,302.0,298.0,194.0,302.0,298.0,187.0,unchanged
1003661,19709.0,19704.0,225.0,,,,no_longer_flagged
1003663,19694.0,19704.0,225.0,19694.0,19704.0,1135.0,unchanged
1003686,5474.0,5472.0,229.0,5474.0,5472.0,219.0,unchanged
1003687,,,,5470.0,5461.0,1172.0,newly_flagged
1003688,19685.0,19695.0,1249.0,19685.0,19695.0,1139.0,unchanged
1003695,,,,19856.0,461.0,27.0,newly_flagged
1003697,455.0,19855.0,722.0,455.0,19855.0,647.0,unchanged
1003698,391273.0,391282.0,1291.0,391273.0,391280.0,1175.0,recommendation_changed
1003700,19709.0,19704.0,225.0,,,,no_longer_flagged
1003702,19709.0,19704.0,225.0,,,,no_longer_flagged
1003703,21911.0,21917.0,1293.0,21911.0,21917.0,1177.0,unchanged
1003704,19705.0,19703.0,1280.0,19705.0,19703.0,1165.0,unchanged
1003705,19681.0,19683.0,171.0,19681.0,19683.0,165.0,unchanged
1003706,19705.0,19704.0,225.0,19705.0,19704.0,1135.0,unchanged
1003707,19705.0,19703.0,1280.0,,,,no_longer_flagged
1003708,19709.0,19704.0,225.0,,,,no_longer_flagged
1003710,19711.0,27471.0,1294.0,19711.0,27471.0,1179.0,unchanged
1003720,,,,19678.0,19681.0,198.0,newly_flagged
1003721,,,,19678.0,19681.0,198.0,newly_flagged
1003722,,,,19678.0,19681.0,198.0,newly_flagged
1003723,,,,19678.0,19681.0,198.0,newly_flagged
1003724,19678.0,19680.0,1295.0,19678.0,19680.0,1180.0,unchanged
1003736,58530.0,58528.0,1298.0,,,,no_longer_flagged
1003744,19688.0,19704.0,225.0,,,,no_longer_flagged
1003745,298.0,302.0,189.0,298.0,302.0,182.0,unchanged
1003747,19693.0,19704.0,225.0,19693.0,19688.0,216.0,recommendation_changed
1003753,19708.0,19706.0,1285.0,19708.0,19706.0,1170.0,unchanged
1003779,19704.0,19703.0,1280.0,19704.0,19703.0,1165.0,unchanged
1003781,5479.0,83808.0,1313.0,5479.0,83808.0,1198.0,unchanged
1003783,5469.0,5468.0,1316.0,5469.0,5465.0,207.0,recommendation_changed
1003786,21920.0,21917.0,1293.0,21920.0,21917.0,1177.0,unchanged
1003787,21922.0,21917.0,1293.0,21922.0,21917.0,1177.0,unchanged
1003788,21920.0,21917.0,1293.0,21920.0,21917.0,1177.0,unchanged
1003791,5481.0,83808.0,1313.0,5481.0,83808.0,1198.0,unchanged
1003795,19679.0,19684.0,1311.0,19679.0,19684.0,1196.0,unchanged
1003804,19691.0,19694.0,180.0,19691.0,19694.0,174.0,unchanged
1003813,19687.0,19691.0,179.0,,,,no_longer_flagged
1003820,19681.0,19682.0,1261.0,19681.0,19682.0,1151.0,unchanged
1003821,19706.0,19708.0,284.0,19706.0,19708.0,267.0,unchanged
1003823,19686.0,19689.0,1278.0,19686.0,19689.0,1163.0,unchanged
1003924,22739.0,7431.0,541.0,22739.0,7431.0,495.0,unchanged
1004002,13193.0,13229.0,1385.0,13193.0,13229.0,1272.0,unchanged
1004024,13318.0,13287.0,1395.0,13318.0,13287.0,1282.0,unchanged
1004067,12481.0,12506.0,1413.0,12481.0,12506.0,1299.0,unchanged
1004092,,,,58203.0,33262.0,1311.0,newly_flagged
1004127,64942.0,71963.0,1445.0,,,,no_longer_flagged
1004143,13223.0,13202.0,1436.0,13223.0,13202.0,1322.0,unchanged
1004226,12680.0,12713.0,1418.0,12680.0,12713.0,1303.0,unchanged
1004245,13370.0,13341.0,1391.0,13370.0,13341.0,1278.0,unchanged
1004281,22789.0,7486.0,1507.0,22789.0,7486.0,1385.0,unchanged
1004334,23041.0,23077.0,1532.0,23041.0,23077.0,1408.0,unchanged
1004344,,,,13150.0,13149.0,808.0,newly_flagged
1004359,13274.0,13311.0,1376.0,13274.0,13311.0,1264.0,unchanged
1004420,133432.0,133434.0,1565.0,133432.0,133434.0,1440.0,unchanged
1004432,8669.0,8668.0,1566.0,,,,no_longer_flagged
1004441,9224.0,23592.0,1573.0,9224.0,23592.0,1450.0,unchanged
1004455,8540.0,23201.0,1564.0,8540.0,23201.0,1439.0,unchanged
1004456,8540.0,23201.0,1564.0,8540.0,23201.0,1439.0,unchanged
1004495,8540.0,23201.0,1564.0,,,,no_longer_flagged
1004528,133427.0,133428.0,1599.0,133427.0,133428.0,1477.0,unchanged
1004554,133427.0,133428.0,1599.0,133427.0,133428.0,1477.0,unchanged
1004555,133427.0,133428.0,1599.0,133427.0,133428.0,1477.0,unchanged
1004581,23048.0,23066.0,1602.0,23048.0,23066.0,1480.0,unchanged
1004836,9983.0,23915.0,1712.0,9983.0,23915.0,1591.0,unchanged
1004906,,,,37428.0,37425.0,1617.0,newly_flagged
1004909,,,,37428.0,37425.0,1617.0,newly_flagged
1004925,4746.0,4721.0,1742.0,4746.0,4721.0,1621.0,unchanged
1004946,71011.0,123833.0,1669.0,71011.0,123833.0,1549.0,unchanged
1004947,71011.0,123833.0,1669.0,71011.0,123833.0,1549.0,unchanged
1004949,71011.0,123833.0,1669.0,71011.0,123833.0,1549.0,unchanged
1005004,2795.0,105910.0,1762.0,2795.0,105910.0,1640.0,unchanged
1005016,9915.0,9967.0,1672.0,9915.0,9967.0,1552.0,unchanged
1005076,11956.0,24827.0,1207.0,11956.0,24827.0,1098.0,unchanged
1005143,6657.0,6656.0,1806.0,6657.0,6656.0,1677.0,unchanged
1005209,116465.0,116463.0,1830.0,,,,no_longer_flagged
1005219,109106.0,109104.0,1715.0,109106.0,109104.0,1594.0,unchanged
1005220,,,,109106.0,109104.0,1594.0,newly_flagged
1005401,148183.0,143045.0,1882.0,148183.0,143045.0,1747.0,unchanged
1005412,24363.0,24388.0,1840.0,24363.0,24388.0,1706.0,unchanged
1005463,19843.0,438.0,482.0,19843.0,438.0,446.0,unchanged
1005467,5484.0,83808.0,1313.0,5484.0,83808.0,1198.0,unchanged
1005469,5491.0,83808.0,1313.0,5491.0,83808.0,1198.0,unchanged
1005474,341.0,320.0,415.0,341.0,320.0,386.0,unchanged
1005477,301.0,298.0,375.0,301.0,298.0,351.0,unchanged
1005478,,,,5463.0,5465.0,207.0,newly_flagged
1005479,,,,5468.0,5465.0,207.0,newly_flagged
1005480,5464.0,5468.0,1316.0,5464.0,5465.0,207.0,recommendation_changed
1005481,,,,5468.0,5465.0,207.0,newly_flagged
1005483,,,,21908.0,21901.0,84.0,newly_flagged
1005486,58205.0,21917.0,1293.0,58205.0,21917.0,1177.0,unchanged
1005488,5595.0,21917.0,1293.0,5595.0,21917.0,1177.0,unchanged
1005489,5595.0,21917.0,1293.0,5595.0,21917.0,1177.0,unchanged
1005491,,,,344508.0,5527.0,161.0,newly_flagged
1005492,,,,344508.0,5527.0,161.0,newly_flagged
1005493,,,,344508.0,5527.0,161.0,newly_flagged
1005499,21915.0,21917.0,1293.0,21915.0,21917.0,1177.0,unchanged
1005500,5594.0,21917.0,1293.0,5594.0,21917.0,1177.0,unchanged
1005501,21922.0,21917.0,1293.0,21922.0,21917.0,1177.0,unchanged
1005504,5481.0,83808.0,1313.0,5481.0,83808.0,1198.0,unchanged
1005505,83808.0,5478.0,1317.0,83808.0,5478.0,1202.0,unchanged
1005513,488.0,484.0,363.0,488.0,491.0,339.0,recommendation_changed
1005517,,,,21904.0,21906.0,105.0,newly_flagged
1005518,21915.0,21917.0,1293.0,21915.0,21917.0,1177.0,unchanged
1005520,21912.0,21917.0,1293.0,21912.0,21917.0,1177.0,unchanged
1005521,21912.0,21917.0,1293.0,21912.0,21917.0,1177.0,unchanged
1005523,21875.0,21874.0,1928.0,21875.0,21874.0,1788.0,unchanged
1005526,351.0,347.0,471.0,351.0,347.0,436.0,unchanged
1005528,19823.0,19819.0,24.0,,,,no_longer_flagged
1005535,136638.0,5583.0,1220.0,136638.0,5583.0,1111.0,unchanged
1005540,21922.0,21917.0,1293.0,21922.0,21917.0,1177.0,unchanged
1005541,280.0,294.0,527.0,280.0,294.0,482.0,unchanged
1005543,5462.0,5461.0,1934.0,5462.0,5461.0,1172.0,unchanged
1005546,21905.0,21901.0,88.0,21905.0,21901.0,84.0,unchanged
1005547,,,,21908.0,21901.0,84.0,newly_flagged
1005551,152637.0,21917.0,1293.0,152637.0,21917.0,1177.0,unchanged
1005565,,,,24917.0,24886.0,1801.0,newly_flagged
1005566,10100.0,10160.0,1944.0,10100.0,10160.0,1802.0,unchanged
1005568,10100.0,10160.0,1944.0,10100.0,10160.0,1802.0,unchanged
1005587,11328.0,11397.0,1956.0,11328.0,11397.0,1813.0,unchanged
1005593,1019.0,345275.0,1961.0,1019.0,345275.0,1818.0,unchanged
1005794,12471.0,12506.0,1413.0,12471.0,12506.0,1299.0,unchanged
1005842,21912.0,21917.0,1293.0,21912.0,21917.0,1177.0,unchanged
1005851,21920.0,21917.0,1293.0,21920.0,21917.0,1177.0,unchanged
1005859,,,,19785.0,221.0,370.0,newly_flagged
1005867,87003.0,5586.0,1929.0,87003.0,5586.0,1789.0,unchanged
1005869,21884.0,21883.0,1308.0,21884.0,21883.0,1193.0,unchanged
1005893,,,,19701.0,19692.0,1152.0,newly_flagged
