NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
17731,4,4,2
17732,8,8,3
17744,3,3,2
17754,7,7,2
17769,5,5,2
17805,6,6,3
17850,5,5,4
17851,7,7,2
17853,9,9,2
17863,3,3,3
17874,6,6,2
17904,8,8,2
17907,2,2,2
17908,7,7,2
17938,3,3,2
17992,7,7,2
18,6,6,2
18027,2,2,2
18042,6,6,2
18050,7,7,3
18054,9,9,3
18069,5,5,2
18076,7,7,2
18100,14,14,2
18113,5,5,2
18117,12,12,2
18134,6,6,3
18151,15,15,2
18164,6,6,2
18166,3,3,2
18168,5,5,2
18180,3,3,3
18182,10,10,2
18213,4,4,2
18215,5,5,3
18222,4,4,2
18233,12,12,3
18238,2,2,2
18248,4,4,2
1825,5,5,2
18256,8,8,2
18265,15,15,2
18301,3,3,2
18302,7,7,3
18317,3,3,2
18327,5,5,2
18338,11,11,4
18340,6,6,3
18350,4,4,2
18362,6,6,2
18369,3,3,2
18379,7,7,4
18382,4,4,2
18395,5,5,2
18397,2,2,2
184,2,2,2
18400,4,4,2
18418,5,5,2
18427,5,5,2
18428,8,8,3
18429,4,4,2
18435,5,5,3
18439,9,9,2
18453,8,8,2
18469,6,6,2
18471,4,4,2
18473,10,10,3
18480,11,11,3
18482,17,17,4
18502,3,3,2
18523,9,9,4
18525,3,3,2
18548,9,9,4
18549,5,5,2
18550,6,6,2
18561,15,15,7
18573,7,7,2
18577,8,8,3
18582,7,7,5
18583,20,20,3
18585,3,3,2
18592,6,6,2
18598,2,2,2
18600,2,2,2
18613,7,7,3
18617,12,12,3
18626,6,6,3
18634,3,3,2
18643,6,6,3
18647,5,5,2
18654,21,21,2
18655,10,10,3
18663,4,4,2
18671,5,5,4
18674,6,6,2
18678,14,14,5
18682,7,7,2
18683,2,2,2
18686,7,7,2
18716,3,3,2
18718,7,7,2
18724,13,13,4
18744,3,3,2
18747,5,5,2
18753,2,2,2
18758,2,2,2
18762,6,6,3
18764,10,10,4
18765,5,5,2
18778,5,5,2
18796,2,2,2
18797,10,10,2
18800,10,10,2
18801,7,7,3
18803,8,8,2
18807,4,4,2
18815,10,10,4
18827,8,8,4
18829,6,6,3
18832,6,6,2
18847,8,8,4
18852,6,6,4
18855,8,8,3
18874,6,6,3
18875,10,10,2
18889,9,9,2
18912,5,5,2
18914,12,12,2
18920,7,7,2
18931,6,6,2
18942,6,6,2
18954,5,5,2
19033,9,9,2
19040,17,17,4
19066,5,5,2
19077,5,5,3
19078,6,6,2
19087,6,6,2
19090,6,6,2
19105,6,6,2
19108,4,4,2
19116,4,4,2
19121,2,2,2
19142,3,3,2
19203,6,6,2
19230,5,5,2
19237,7,7,3
19291,8,8,2
19326,5,5,2
19369,7,7,2
19373,6,6,2
19377,3,3,2
19397,10,10,2
19400,6,6,2
19406,9,9,2
19417,6,6,2
19449,9,9,2
19474,6,6,2
19492,2,2,2
19496,7,7,5
19530,5,5,2
19550,4,4,2
19551,10,10,3
19552,4,4,3
19554,6,6,2
19566,4,4,2
19567,6,6,4
19568,6,6,2
19607,5,5,2
19614,5,5,2
1966,8,8,2
19666,4,4,3
19684,3,3,2
1969,2,2,2
19695,3,3,2
19704,2,2,2
19705,2,2,2
19749,4,4,2
19753,3,3,2
19769,4,4,3
19771,8,8,3
19773,9,9,2
19778,4,4,2
1978,4,4,2
19783,5,5,2
19812,9,9,2
19820,5,5,2
19821,6,6,4
19823,7,7,2
19831,3,3,2
19842,5,5,2
19857,7,7,2
19888,6,6,3
19919,4,4,2
19925,4,4,2
19926,2,2,2
19927,5,5,3
1993,16,16,4
19930,6,6,2
19936,5,5,2
19938,6,6,2
19939,6,6,3
19945,8,8,2
19956,7,7,2
19957,7,7,2
19964,6,6,2
2,7,7,2
20003,8,8,2
20006,7,7,2
20020,3,3,2
20064,6,6,3
20067,8,8,2
20121,5,5,3
20129,7,7,2
20132,2,2,2
20137,6,6,6
20141,6,6,2
20144,7,7,2
20149,4,4,2
20150,5,5,2
20156,8,8,3
20162,2,2,2
20165,8,8,2
