BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1001576,11,4,0,7,0.3
1001577,7,5,0,2,0.6667
1001579,6,1,0,5,0.0
1001580,11,4,0,7,0.3
1001582,6,3,0,3,0.4
1001583,11,4,0,7,0.3
1001586,6,3,0,3,0.4
1001588,6,3,0,3,0.4
1001591,11,10,0,1,0.9
1001592,11,10,0,1,0.9
1001595,11,10,0,1,0.9
1001597,5,4,0,1,0.75
1001598,5,4,0,1,0.75
1001599,5,4,0,1,0.75
1001600,6,4,0,2,0.6
1001601,7,5,0,2,0.6667
1001602,6,1,0,5,0.0
1001603,7,5,0,2,0.6667
1001605,7,1,0,6,0.0
1001607,7,5,0,2,0.6667
1001609,6,4,0,2,0.6
1001611,7,8,1,0,0.8571
1001612,6,2,0,4,0.2
1001614,6,1,0,5,0.0
1001615,7,5,0,2,0.6667
1001618,5,1,0,4,0.0
1001619,5,4,0,1,0.75
1001621,2,1,0,1,0.0
1001622,2,1,0,1,0.0
1001626,7,8,1,0,0.8571
1001627,7,8,1,0,0.8571
1001628,7,6,0,1,0.8333
1001632,13,10,0,3,0.75
1001635,13,10,0,3,0.75
1001636,6,5,0,1,0.8
1001637,6,1,0,5,0.0
1001638,6,5,0,1,0.8
1001639,3,1,0,2,0.0
1001640,2,1,0,1,0.0
1001642,3,2,0,1,0.5
1001644,6,5,0,1,0.8
1001646,7,6,0,1,0.8333
1001647,2,1,0,1,0.0
1001656,7,6,0,1,0.8333
1001657,7,6,0,1,0.8333
1001658,7,1,0,6,0.0
1001664,5,3,0,2,0.5
1001666,9,8,0,1,0.875
1001668,4,2,0,2,0.3333
1001669,4,2,0,2,0.3333
1001673,3,2,0,1,0.5
1001674,2,1,0,1,0.0
1001692,2,1,0,1,0.0
1001696,4,1,0,3,0.0
1001706,6,7,1,0,0.8333
1001711,9,1,0,8,0.0
1001717,7,3,0,4,0.3333
1001719,7,3,0,4,0.3333
1001727,11,10,0,1,0.9
1001729,7,6,2,3,0.375
1001730,5,4,0,1,0.75
1001732,7,6,2,3,0.375
1001733,7,6,2,3,0.375
1001734,7,3,0,4,0.3333
1001735,2,6,4,0,0.2
1001736,5,1,0,4,0.0
1001737,5,4,0,1,0.75
1001763,6,2,0,4,0.2
1001768,6,4,0,2,0.6
1001769,6,4,0,2,0.6
1001770,12,1,0,11,0.0
1001771,12,11,0,1,0.9091
1001772,12,11,0,1,0.9091
1001773,12,11,0,1,0.9091
1001774,12,11,0,1,0.9091
1001783,8,9,1,0,0.875
1001787,5,4,0,1,0.75
1001797,11,3,0,8,0.2
1001798,8,7,0,1,0.8571
1001818,6,1,0,5,0.0
1001819,2,1,0,1,0.0
1001824,6,2,0,4,0.2
1001827,6,1,0,5,0.0
1001829,33,39,11,5,0.6279
1001830,7,9,2,0,0.75
1001831,33,1,0,32,0.0
1001832,6,4,0,2,0.6
1001835,6,1,0,5,0.0
1001847,6,1,0,5,0.0
1001848,6,4,0,2,0.6
1001849,6,4,0,2,0.6
1001850,6,4,0,2,0.6
1001854,3,4,1,0,0.6667
1001856,6,5,0,1,0.8
1001859,6,5,0,1,0.8
1001866,2,1,0,1,0.0
1001868,11,3,0,8,0.2
1001869,16,6,0,10,0.3333
1001871,3,1,0,2,0.0
1001872,6,4,0,2,0.6
1001874,6,1,0,5,0.0
1001875,6,5,0,1,0.8
1001881,6,4,0,2,0.6
1001882,6,4,0,2,0.6
1001887,7,1,0,6,0.0
1001888,6,2,0,4,0.2
1001890,6,4,0,2,0.6
1001891,5,2,0,3,0.25
1001892,5,3,0,2,0.5
1001893,5,3,0,2,0.5
1001894,5,2,0,3,0.25
1001897,3,1,0,2,0.0
1001898,3,2,0,1,0.5
1001899,3,2,0,1,0.5
1001900,16,17,2,1,0.8235
1001902,16,17,2,1,0.8235
1001903,16,17,2,1,0.8235
1001904,5,4,0,1,0.75
1001906,7,11,7,3,0.2308
1001907,1,11,10,0,0.0
1001908,3,13,11,1,0.0769
1001909,10,1,0,9,0.0
1001913,2,19,18,1,0.0
1001915,3,16,13,0,0.1333
1001918,34,29,0,5,0.8485
1001919,8,3,0,5,0.2857
1001924,8,7,0,1,0.8571
1001927,5,3,0,2,0.5
