BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP
1125158,1418,1433,30556,10,10,1,9,0.9,0.8
1125045,13473,13455,30694,10,10,1,9,0.9,0.8
1176845,20763,20774,31273,10,10,1,9,0.9,0.8
1304023,22626,7050,33326,10,10,1,9,0.9,0.8
1179149,20262,1769,33471,10,10,1,9,0.9,0.8
1146041,14643,14724,34103,10,10,1,9,0.9,0.8
1145057,14487,14481,34378,10,10,1,9,0.9,0.8
1147453,83806,2512,36402,10,10,1,9,0.9,0.8
1159319,102363,102058,38056,10,10,1,9,0.9,0.8
1275629,23470,9007,48686,10,10,1,9,0.9,0.8
1220819,55014,38414,49238,10,10,1,9,0.9,0.8
1303911,7120,7190,51703,10,10,1,9,0.9,0.8
1277226,79004,93724,54395,10,10,1,9,0.9,0.8
1307893,20503,20484,54835,10,10,1,9,0.9,0.8
1287768,20348,13891,55138,10,10,1,9,0.9,0.8
1310394,100765,100766,58638,10,10,1,9,0.9,0.8
1311569,9016,8977,58711,10,10,1,9,0.9,0.8
1097193,,391152,24394,6,5,0,4,0.8,0.8
1217025,280970,280969,46287,27,27,1,22,0.8148,0.7778
1009218,350228,350206,266,9,9,1,8,0.8889,0.7778
1001688,327,322,574,9,9,1,8,0.8889,0.7778
1112474,14625,25871,1172,9,9,1,8,0.8889,0.7778
1133034,46684,8437,1394,9,9,1,8,0.8889,0.7778
1004441,9224,23592,1606,9,9,1,8,0.8889,0.7778
1005016,9915,9967,1709,9,9,1,8,0.8889,0.7778
1025076,10149,10140,1850,9,9,1,8,0.8889,0.7778
1005587,11328,11397,2005,9,9,1,8,0.8889,0.7778
1025619,10416,10336,2493,9,9,1,8,0.8889,0.7778
1008288,11349,24576,2821,9,9,1,8,0.8889,0.7778
1010560,88606,88607,3187,9,9,1,8,0.8889,0.7778
1035279,286726,344637,3457,9,9,1,8,0.8889,0.7778
1011710,375502,375501,3806,9,9,1,8,0.8889,0.7778
1011822,377665,377666,3838,9,9,1,8,0.8889,0.7778
1048290,74203,65251,4285,9,9,1,8,0.8889,0.7778
1095354,384480,384478,4381,9,9,1,8,0.8889,0.7778
1039475,378395,378400,4429,9,9,1,8,0.8889,0.7778
1018948,276807,271677,5448,9,9,1,8,0.8889,0.7778
1018997,22934,22944,5473,9,9,1,8,0.8889,0.7778
1019164,36137,36138,5509,9,9,1,8,0.8889,0.7778
1020775,9027,8974,5965,9,9,1,8,0.8889,0.7778
1029649,370383,370384,6560,9,9,1,8,0.8889,0.7778
1024053,23997,23979,6950,9,9,1,8,0.8889,0.7778
1093664,17809,17835,6978,9,9,1,8,0.8889,0.7778
1029873,278086,278085,8525,9,9,1,8,0.8889,0.7778
1030314,170237,170238,8644,9,9,1,8,0.8889,0.7778
1037994,6431,6381,9161,9,9,1,8,0.8889,0.7778
1032340,343565,343567,9278,9,9,1,8,0.8889,0.7778
1034362,159048,159049,9810,9,9,1,8,0.8889,0.7778
1034515,7779,7777,9856,9,9,1,8,0.8889,0.7778
1034721,292162,292159,9912,9,9,1,8,0.8889,0.7778
1035517,55648,55647,10121,9,9,1,8,0.8889,0.7778
1039174,226242,130540,11002,9,9,1,8,0.8889,0.7778
1039816,23622,23608,11043,9,9,1,8,0.8889,0.7778
1045563,8972,8941,12482,9,9,1,8,0.8889,0.7778
1048004,349595,349596,12990,9,9,1,8,0.8889,0.7778
1082996,17486,17426,13157,9,9,1,8,0.8889,0.7778
1057063,175356,172500,14196,9,9,1,8,0.8889,0.7778
1186871,47004,75492,14917,9,9,1,8,0.8889,0.7778
1065577,257928,257929,16174,9,9,1,8,0.8889,0.7778
1070505,5291,5303,17095,9,9,1,8,0.8889,0.7778
1070185,19111,19110,17241,9,9,1,8,0.8889,0.7778
1069930,19143,19107,17409,9,9,1,8,0.8889,0.7778
1079095,5431,5428,17571,9,9,1,8,0.8889,0.7778
1282485,27349,19389,17763,9,9,1,8,0.8889,0.7778
1071231,27374,27382,17813,9,9,1,8,0.8889,0.7778
1179080,25468,13592,18082,9,9,1,8,0.8889,0.7778
1072902,235849,235843,18193,9,9,1,8,0.8889,0.7778
1267665,10188,10180,18775,9,9,1,8,0.8889,0.7778
1076760,145602,130227,19374,9,9,1,8,0.8889,0.7778
1077597,19304,19305,19436,9,9,1,8,0.8889,0.7778
1092716,27028,18074,21038,9,9,1,8,0.8889,0.7778
1089109,14423,14385,21915,9,9,1,8,0.8889,0.7778
1116653,13710,13656,22664,9,9,1,8,0.8889,0.7778
1092288,25421,13474,23101,9,9,1,8,0.8889,0.7778
1121063,13060,13138,23489,9,9,1,8,0.8889,0.7778
1132492,391359,391357,24143,9,9,1,8,0.8889,0.7778
1119059,10750,429852,24359,9,9,1,8,0.8889,0.7778
1118612,396082,396084,24383,9,9,1,8,0.8889,0.7778
1190758,2977,15032,24401,9,9,1,8,0.8889,0.7778
1147446,2833,20942,28363,9,9,1,8,0.8889,0.7778
1119310,425117,425116,29299,9,9,1,8,0.8889,0.7778
1118947,449231,449230,29310,9,9,1,8,0.8889,0.7778
1123978,12282,12286,29685,9,9,1,8,0.8889,0.7778
1185046,19657,19658,32419,9,9,1,8,0.8889,0.7778
1227480,23228,23262,33101,9,9,1,8,0.8889,0.7778
1189766,4538,4532,34481,9,9,1,8,0.8889,0.7778
1207997,930,928,34532,9,9,1,8,0.8889,0.7778
1153112,12154,12163,37478,9,9,1,8,0.8889,0.7778
1157830,17404,17344,38009,9,9,1,8,0.8889,0.7778
1189994,21233,21254,44582,9,9,1,8,0.8889,0.7778
1210820,10539,10621,45006,9,9,1,8,0.8889,0.7778
1205875,10725,10709,45089,9,9,1,8,0.8889,0.7778
1202317,18240,18236,46806,9,9,1,8,0.8889,0.7778
1287212,4636,4618,48462,9,9,1,8,0.8889,0.7778
1225777,91487,91488,50327,9,9,1,8,0.8889,0.7778
1225775,91488,91487,50374,9,9,1,8,0.8889,0.7778
1287609,9870,9857,50513,9,9,1,8,0.8889,0.7778
1227769,8131,8198,50776,9,9,1,8,0.8889,0.7778
1265982,55978,23153,50814,9,9,1,8,0.8889,0.7778
1269434,8103,8015,52335,9,9,1,8,0.8889,0.7778
1286318,9891,9815,53779,9,9,1,8,0.8889,0.7778
1299413,4597,4572,54381,9,9,1,8,0.8889,0.7778
1298276,50216,50210,54794,9,9,1,8,0.8889,0.7778
1282517,19321,19334,55857,9,9,1,8,0.8889,0.7778
1304407,37117,37118,58344,9,9,1,8,0.8889,0.7778
1309915,6081,6067,59567,9,9,1,8,0.8889,0.7778
1007399,24891,24882,2540,16,16,1,13,0.8125,0.75
1156332,283543,287362,4208,16,16,2,14,0.875,0.75
1181363,283543,287362,4208,16,16,2,14,0.875,0.75
1062759,5669,5665,16039,16,16,2,14,0.875,0.75
1062824,5669,5665,16039,16,16,2,14,0.875,0.75
1012979,13395,13414,52,8,8,1,7,0.875,0.75
1005526,351,347,478,8,8,1,7,0.875,0.75
1008891,11667,24729,602,8,8,1,7,0.875,0.75
1027818,8288,8252,938,8,8,1,7,0.875,0.75
1002522,56923,24178,1078,8,8,1,7,0.875,0.75
1073407,69412,139847,1105,8,8,1,7,0.875,0.75
1002678,17682,17646,1167,8,8,1,7,0.875,0.75
1005076,11956,24827,1234,8,8,1,7,0.875,0.75
1003542,11956,11954,1248,8,8,1,7,0.875,0.75
1025329,25283,12911,1357,8,8,1,7,0.875,0.75
1004359,13274,13311,1406,8,8,1,7,0.875,0.75
1004226,12680,12713,1450,8,8,1,7,0.875,0.75
1072451,132141,132140,1702,8,8,1,7,0.875,0.75
1004836,9983,23915,1751,8,8,1,7,0.875,0.75
1119481,396227,430002,1790,8,8,1,7,0.875,0.75
1025480,33260,33259,1819,8,8,1,7,0.875,0.75
1005401,148183,143045,1930,8,8,1,7,0.875,0.75
1005593,1019,345275,2010,8,8,1,7,0.875,0.75
1006685,23950,23909,2216,8,8,1,7,0.875,0.75
1012954,10245,24288,2435,8,8,1,7,0.875,0.75
1025254,12705,25132,2584,8,8,1,7,0.875,0.75
1025106,10616,10636,2588,8,8,1,7,0.875,0.75
1025644,12688,25174,2634,8,8,1,7,0.875,0.75
1010066,35170,24581,2922,8,8,1,7,0.875,0.75
1023258,145275,235200,3518,8,8,1,7,0.875,0.75
1054402,364609,364608,3812,8,8,1,7,0.875,0.75
